compartment,timepoint,mouse,region,cd44_rate,n_support
CD45,D1,MS1,cortex,0.7496296296296296,258
CD45,D1,MS2,cortex,0.907608695652174,184
CD45,D3,MS1,cortex,0.7151335311572701,337
CD45,D3,MS2,cortex,0.681440990516333,354
CD45,D7,MS1,cortex,0.9658139055085619,632
CD45,D7,MS2,cortex,0.8955555555555555,450
CD45,Sham,MS1,cortex,0.7076052125614185,306
CD45,Sham,MS2,cortex,0.8,155
CD206,D1,MS1,cortex,0.5126485115471899,557
CD206,D1,MS2,cortex,0.6550522648083623,287
CD206,D3,MS1,cortex,0.7121212121212122,264
CD206,D3,MS2,cortex,0.5485221674876847,640
CD206,D7,MS1,cortex,0.8517358541344278,779
CD206,D7,MS2,cortex,0.9119047619047619,420
CD206,Sham,MS1,cortex,0.48993600930773706,371
CD206,Sham,MS2,cortex,0.520618556701031,194
CD31,D1,MS1,cortex,0.6219093406593406,390
CD31,D1,MS2,cortex,0.7298850574712644,174
CD31,D3,MS1,cortex,0.6253602305475504,347
CD31,D3,MS2,cortex,0.5151133203148115,608
CD31,D7,MS1,cortex,0.7350473752185889,837
CD31,D7,MS2,cortex,0.8062015503875969,258
CD31,Sham,MS1,cortex,0.5314756710991584,304
CD31,Sham,MS2,cortex,0.5842696629213483,178
CD34,D1,MS1,cortex,0.542934293429343,422
CD34,D1,MS2,cortex,0.6377551020408163,196
CD34,D3,MS1,cortex,0.6728624535315985,269
CD34,D3,MS2,cortex,0.5118421052631579,616
CD34,D7,MS1,cortex,0.7376647569953938,795
CD34,D7,MS2,cortex,0.7474747474747475,198
CD34,Sham,MS1,cortex,0.5202710116304586,289
CD34,Sham,MS2,cortex,0.441340782122905,179
CD140b,D1,MS1,cortex,0.5828936688311688,564
CD140b,D1,MS2,cortex,0.6586021505376344,372
CD140b,D3,MS1,cortex,0.6170212765957447,423
CD140b,D3,MS2,cortex,0.6150480552834335,601
CD140b,D7,MS1,cortex,0.8278908046271309,884
CD140b,D7,MS2,cortex,0.8544698544698545,481
CD140b,Sham,MS1,cortex,0.6923376255836988,265
CD140b,Sham,MS2,cortex,0.5968379446640316,253
endothelial_cd31cd34,D1,MS1,cortex,0.6421556122448979,307
endothelial_cd31cd34,D1,MS2,cortex,0.7272727272727273,143
endothelial_cd31cd34,D3,MS1,cortex,0.6733067729083665,251
endothelial_cd31cd34,D3,MS2,cortex,0.5284701332187366,540
endothelial_cd31cd34,D7,MS1,cortex,0.7387482897686979,750
endothelial_cd31cd34,D7,MS2,cortex,0.7885714285714286,175
endothelial_cd31cd34,Sham,MS1,cortex,0.6689791024323398,181
