compartment,timepoint,mouse,region,cd44_rate,n_support,scale_um
CD45,D1,MS1,cortex,0.6699613992062168,1053,10.0
CD45,D1,MS2,cortex,0.8290013679890561,731,10.0
CD45,D3,MS1,cortex,0.8145639288738358,1181,10.0
CD45,D3,MS2,cortex,0.7106190476190476,1450,10.0
CD45,D7,MS1,cortex,0.928665824915825,2406,10.0
CD45,D7,MS2,cortex,0.9104204753199269,1641,10.0
CD45,Sham,MS1,cortex,0.6402964443106233,1209,10.0
CD45,Sham,MS2,cortex,0.7129485179407177,641,10.0
CD206,D1,MS1,cortex,0.43251823840220494,1756,10.0
CD206,D1,MS2,cortex,0.5472127417519909,879,10.0
CD206,D3,MS1,cortex,0.7639902676399026,822,10.0
CD206,D3,MS2,cortex,0.5575611823676839,2135,10.0
CD206,D7,MS1,cortex,0.84868685892279,2548,10.0
CD206,D7,MS2,cortex,0.9124293785310734,1416,10.0
CD206,Sham,MS1,cortex,0.42324604260308774,1248,10.0
CD206,Sham,MS2,cortex,0.4034519956850054,927,10.0
CD31,D1,MS1,cortex,0.5514857416726575,1636,10.0
CD31,D1,MS2,cortex,0.6213333333333333,750,10.0
CD31,D3,MS1,cortex,0.6591695501730104,1156,10.0
CD31,D3,MS2,cortex,0.5085098182872756,2297,10.0
CD31,D7,MS1,cortex,0.6944645179939297,2530,10.0
CD31,D7,MS2,cortex,0.8103813559322034,944,10.0
CD31,Sham,MS1,cortex,0.5013415892672859,1223,10.0
CD31,Sham,MS2,cortex,0.5421133231240429,653,10.0
CD34,D1,MS1,cortex,0.4784015430898232,1803,10.0
CD34,D1,MS2,cortex,0.5514771709937332,1117,10.0
CD34,D3,MS1,cortex,0.6686346863468635,1355,10.0
CD34,D3,MS2,cortex,0.4944011191808549,2615,10.0
CD34,D7,MS1,cortex,0.6828220354268204,2853,10.0
CD34,D7,MS2,cortex,0.7538280329799765,849,10.0
CD34,Sham,MS1,cortex,0.452563459110888,1040,10.0
CD34,Sham,MS2,cortex,0.42771084337349397,664,10.0
CD140b,D1,MS1,cortex,0.5803673493017145,2020,10.0
CD140b,D1,MS2,cortex,0.6371212121212121,1320,10.0
CD140b,D3,MS1,cortex,0.7136054421768707,1470,10.0
CD140b,D3,MS2,cortex,0.6720490380915904,2188,10.0
CD140b,D7,MS1,cortex,0.8263064523240166,3094,10.0
CD140b,D7,MS2,cortex,0.864475201845444,1734,10.0
CD140b,Sham,MS1,cortex,0.6068258134572755,1192,10.0
CD140b,Sham,MS2,cortex,0.58968850698174,931,10.0
endothelial_cd31cd34,D1,MS1,cortex,0.5551948051948052,1274,10.0
endothelial_cd31cd34,D1,MS2,cortex,0.6324655436447167,653,10.0
endothelial_cd31cd34,D3,MS1,cortex,0.6740384615384616,1040,10.0
endothelial_cd31cd34,D3,MS2,cortex,0.5208478567123427,2113,10.0
endothelial_cd31cd34,D7,MS1,cortex,0.6965666061885281,2334,10.0
endothelial_cd31cd34,D7,MS2,cortex,0.8071428571428572,700,10.0
endothelial_cd31cd34,Sham,MS1,cortex,0.5713744588744589,650,10.0
endothelial_cd31cd34,Sham,MS2,cortex,0.528604118993135,437,10.0
neutrophil,D1,MS1,cortex,0.25041578120668945,295,10.0
neutrophil,D1,MS2,cortex,0.5934065934065934,91,10.0
neutrophil,D3,MS1,cortex,0.8901098901098901,91,10.0
neutrophil,D3,MS2,cortex,0.625,324,10.0
neutrophil,D7,MS1,cortex,0.9705882352941176,329,10.0
neutrophil,D7,MS2,cortex,1.0,201,10.0
neutrophil,Sham,MS1,cortex,0.34350256171401955,246,10.0
neutrophil,Sham,MS2,cortex,0.35555555555555557,135,10.0
CD45,D1,MS1,medulla,0.5856873822975518,531,10.0
CD45,D1,MS2,medulla,0.6429880348011625,1319,10.0
CD45,D3,MS1,medulla,0.6006781904688818,1449,10.0
CD45,D3,MS2,medulla,0.8649193548387096,992,10.0
CD45,D7,MS1,medulla,0.5470653377630121,903,10.0
CD45,D7,MS2,medulla,0.3836925960637301,2720,10.0
CD45,Sham,MS1,medulla,0.5710982658959538,865,10.0
CD45,Sham,MS2,medulla,0.48802464326422257,912,10.0
CD206,D1,MS1,medulla,0.42655935613682094,497,10.0
CD206,D1,MS2,medulla,0.4605329007163247,2204,10.0
CD206,D3,MS1,medulla,0.48427464008859356,1953,10.0
CD206,D3,MS2,medulla,0.7411376751854906,1213,10.0
CD206,D7,MS1,medulla,0.3674164962508521,1467,10.0
CD206,D7,MS2,medulla,0.37080616112223713,1630,10.0
CD206,Sham,MS1,medulla,0.5068912710566615,653,10.0
CD206,Sham,MS2,medulla,0.3154671010214123,802,10.0
CD31,D1,MS1,medulla,0.4337152209492635,611,10.0
CD31,D1,MS2,medulla,0.5303166776945352,1678,10.0
CD31,D3,MS1,medulla,0.4015263334061653,1861,10.0
CD31,D3,MS2,medulla,0.6859504132231405,1089,10.0
CD31,D7,MS1,medulla,0.3123425692695214,1191,10.0
CD31,D7,MS2,medulla,0.31011453931807914,2312,10.0
CD31,Sham,MS1,medulla,0.6171171171171171,444,10.0
CD31,Sham,MS2,medulla,0.3647900841297068,1329,10.0
CD34,D1,MS1,medulla,0.36980306345733044,914,10.0
CD34,D1,MS2,medulla,0.4704267192262702,2121,10.0
CD34,D3,MS1,medulla,0.38833993711077586,1981,10.0
CD34,D3,MS2,medulla,0.6751085383502171,1382,10.0
CD34,D7,MS1,medulla,0.33083956774729845,1203,10.0
CD34,D7,MS2,medulla,0.3265033121101035,2160,10.0
CD34,Sham,MS1,medulla,0.5089058524173028,786,10.0
CD34,Sham,MS2,medulla,0.3320849538011841,1137,10.0
CD140b,D1,MS1,medulla,0.5235294117647059,680,10.0
CD140b,D1,MS2,medulla,0.5925063775510204,2162,10.0
CD140b,D3,MS1,medulla,0.5823772126003364,1896,10.0
CD140b,D3,MS2,medulla,0.772391125718981,1217,10.0
CD140b,D7,MS1,medulla,0.4935960591133005,1015,10.0
CD140b,D7,MS2,medulla,0.5437183090269186,1596,10.0
CD140b,Sham,MS1,medulla,0.6066066066066066,666,10.0
CD140b,Sham,MS2,medulla,0.5698551186842225,843,10.0
endothelial_cd31cd34,D1,MS1,medulla,0.4602587800369686,541,10.0
endothelial_cd31cd34,D1,MS2,medulla,0.5457671266398729,1403,10.0
endothelial_cd31cd34,D3,MS1,medulla,0.4139237966841607,1579,10.0
endothelial_cd31cd34,D3,MS2,medulla,0.7012987012987013,1001,10.0
endothelial_cd31cd34,D7,MS1,medulla,0.33462657613967023,1031,10.0
endothelial_cd31cd34,D7,MS2,medulla,0.34067732439306103,1715,10.0
endothelial_cd31cd34,Sham,MS1,medulla,0.6522781774580336,417,10.0
endothelial_cd31cd34,Sham,MS2,medulla,0.43136200716845874,670,10.0
neutrophil,D1,MS1,medulla,0.2956521739130435,115,10.0
neutrophil,D1,MS2,medulla,0.502127659574468,226,10.0
neutrophil,D3,MS1,medulla,0.5757575757575757,330,10.0
neutrophil,D3,MS2,medulla,0.8833333333333333,120,10.0
neutrophil,D7,MS1,medulla,0.61,200,10.0
neutrophil,D7,MS2,medulla,0.6565011820330969,276,10.0
neutrophil,Sham,MS1,medulla,0.42857142857142855,91,10.0
neutrophil,Sham,MS2,medulla,0.21944637211812784,230,10.0
CD45,D1,MS1,pooled,0.6418700602366618,1584,10.0
CD45,D1,MS2,pooled,0.704992479197127,2050,10.0
CD45,D3,MS1,pooled,0.6719734366038664,2630,10.0
CD45,D3,MS2,pooled,0.7620524833589349,2442,10.0
CD45,D7,MS1,pooled,0.801465662531554,3309,10.0
CD45,D7,MS2,pooled,0.5592685558157957,4361,10.0
CD45,Sham,MS1,pooled,0.6172303848390668,2074,10.0
CD45,Sham,MS2,pooled,0.5629992681563876,1553,10.0
CD206,D1,MS1,pooled,0.4305319443137436,2253,10.0
CD206,D1,MS2,pooled,0.48942618106154673,3083,10.0
CD206,D3,MS1,pooled,0.5775131826056966,2775,10.0
CD206,D3,MS2,pooled,0.6187533466402861,3348,10.0
CD206,D7,MS1,pooled,0.6882634046988106,4015,10.0
CD206,D7,MS2,pooled,0.5513472335918492,3046,10.0
CD206,Sham,MS1,pooled,0.45112778542094567,1901,10.0
CD206,Sham,MS2,pooled,0.34479539924261005,1729,10.0
CD31,D1,MS1,pooled,0.5122289014315262,2247,10.0
CD31,D1,MS2,pooled,0.5606555629074679,2428,10.0
CD31,D3,MS1,pooled,0.4874074056617803,3017,10.0
CD31,D3,MS2,pooled,0.5676566832658972,3386,10.0
CD31,D7,MS1,pooled,0.5670905350857937,3721,10.0
CD31,D7,MS2,pooled,0.47687014485612056,3256,10.0
CD31,Sham,MS1,pooled,0.5399334318838963,1667,10.0
CD31,Sham,MS2,pooled,0.4238978304611522,1982,10.0
CD34,D1,MS1,pooled,0.44220204987899225,2717,10.0
CD34,D1,MS2,pooled,0.4974435364820912,3238,10.0
CD34,D3,MS1,pooled,0.4817715201894717,3336,10.0
CD34,D3,MS2,pooled,0.5546369255706423,3997,10.0
CD34,D7,MS1,pooled,0.565494546200313,4056,10.0
CD34,D7,MS2,pooled,0.4689448857333945,3009,10.0
CD34,Sham,MS1,pooled,0.471344256879693,1826,10.0
CD34,Sham,MS2,pooled,0.3639602503252874,1801,10.0
CD140b,D1,MS1,pooled,0.5614213701227116,2700,10.0
CD140b,D1,MS2,pooled,0.6073779890744176,3482,10.0
CD140b,D3,MS1,pooled,0.6261199557925144,3366,10.0
CD140b,D3,MS2,pooled,0.705496400634054,3405,10.0
CD140b,D7,MS1,pooled,0.7154029879204445,4109,10.0
CD140b,D7,MS2,pooled,0.6506372732997604,3330,10.0
CD140b,Sham,MS1,pooled,0.6067527445070525,1858,10.0
CD140b,Sham,MS2,pooled,0.5764662481167283,1774,10.0
endothelial_cd31cd34,D1,MS1,pooled,0.5235494634755263,1815,10.0
endothelial_cd31cd34,D1,MS2,pooled,0.5746665989748209,2056,10.0
endothelial_cd31cd34,D3,MS1,pooled,0.5006286849689277,2619,10.0
endothelial_cd31cd34,D3,MS2,pooled,0.5809981382411289,3114,10.0
endothelial_cd31cd34,D7,MS1,pooled,0.5759199295055755,3365,10.0
endothelial_cd31cd34,D7,MS2,pooled,0.4961658353096598,2415,10.0
endothelial_cd31cd34,Sham,MS1,pooled,0.5983423650689838,1067,10.0
endothelial_cd31cd34,Sham,MS2,pooled,0.4637760444433508,1107,10.0
neutrophil,D1,MS1,pooled,0.2654945787754741,410,10.0
neutrophil,D1,MS2,pooled,0.5325539708518432,317,10.0
neutrophil,D3,MS1,pooled,0.6805416805416805,421,10.0
neutrophil,D3,MS2,pooled,0.7111111111111111,444,10.0
neutrophil,D7,MS1,pooled,0.8503921568627452,529,10.0
neutrophil,D7,MS2,pooled,0.7710007880220647,477,10.0
neutrophil,Sham,MS1,pooled,0.3718588506664892,337,10.0
neutrophil,Sham,MS2,pooled,0.26481609993060373,365,10.0
CD45,D1,MS1,cortex,0.7496296296296296,258,20.0
CD45,D1,MS2,cortex,0.907608695652174,184,20.0
CD45,D3,MS1,cortex,0.7151335311572701,337,20.0
CD45,D3,MS2,cortex,0.681440990516333,354,20.0
CD45,D7,MS1,cortex,0.9658139055085619,632,20.0
CD45,D7,MS2,cortex,0.8955555555555555,450,20.0
CD45,Sham,MS1,cortex,0.7076052125614185,306,20.0
CD45,Sham,MS2,cortex,0.8,155,20.0
CD206,D1,MS1,cortex,0.5126485115471899,557,20.0
CD206,D1,MS2,cortex,0.6550522648083623,287,20.0
CD206,D3,MS1,cortex,0.7121212121212122,264,20.0
CD206,D3,MS2,cortex,0.5485221674876847,640,20.0
CD206,D7,MS1,cortex,0.8517358541344278,779,20.0
CD206,D7,MS2,cortex,0.9119047619047619,420,20.0
CD206,Sham,MS1,cortex,0.48993600930773706,371,20.0
CD206,Sham,MS2,cortex,0.520618556701031,194,20.0
CD31,D1,MS1,cortex,0.6219093406593406,390,20.0
CD31,D1,MS2,cortex,0.7298850574712644,174,20.0
CD31,D3,MS1,cortex,0.6253602305475504,347,20.0
CD31,D3,MS2,cortex,0.5151133203148115,608,20.0
CD31,D7,MS1,cortex,0.7350473752185889,837,20.0
CD31,D7,MS2,cortex,0.8062015503875969,258,20.0
CD31,Sham,MS1,cortex,0.5314756710991584,304,20.0
CD31,Sham,MS2,cortex,0.5842696629213483,178,20.0
CD34,D1,MS1,cortex,0.542934293429343,422,20.0
CD34,D1,MS2,cortex,0.6377551020408163,196,20.0
CD34,D3,MS1,cortex,0.6728624535315985,269,20.0
CD34,D3,MS2,cortex,0.5118421052631579,616,20.0
CD34,D7,MS1,cortex,0.7376647569953938,795,20.0
