compartment,region,sham_10um,d7_10um,delta_10um,n_sham_10um,sham_20um,d7_20um,delta_20um,n_sham_20um,sham_40um,d7_40um,delta_40um,n_sham_40um,n_scales_present,direction_consistent,scale_reading
CD140b,cortex,0.5982571602195077,0.8453908270847303,0.24713366686522265,1061.5,0.6445877851238653,0.8411803295484928,0.19659254442462748,259.0,0.6062859633827375,0.8085293726741095,0.20224340929137197,59.0,3,True,scale_robust
CD140b,medulla,0.5882308626454145,0.5186571840701095,-0.06957367857530494,754.5,0.5904882435792778,0.5151467022199951,-0.07534154135928262,175.0,0.5744047619047619,0.5617108585858586,-0.012693903318903299,30.5,3,True,scale_robust
CD140b,pooled,0.5916094963118904,0.6830201306101025,0.09141063429821206,1816.0,0.630721064200384,0.6939769214030083,0.06325585720262428,434.0,0.5588731819376981,0.6976370060251639,0.1387638240874658,89.5,3,True,scale_robust
CD206,cortex,0.41334901914404654,0.8805581187269318,0.46720909958288526,1087.5,0.505277283004384,0.8818203080195948,0.37654302501521075,282.5,0.6073613205966147,0.8236485772698744,0.21628725667325965,63.5,3,True,scale_robust
CD206,medulla,0.4111791860390369,0.3691113286865446,-0.0420678573524923,727.5,0.43616757513816334,0.3104880517586228,-0.12567952337954053,160.5,0.4427272727272727,0.28011254789272033,-0.16261472483455236,22.0,3,True,scale_robust
CD206,pooled,0.39796159233177786,0.6198053191453299,0.22184372681355202,1815.0,0.45302230814035527,0.6093205874972141,0.1562982793568588,443.0,0.452215924961023,0.5612545037126939,0.10903857875167094,85.5,3,True,scale_robust
CD31,cortex,0.5217274561956644,0.7524229369630666,0.2306954807674022,938.0,0.5578726670102534,0.7706244628030929,0.21275179579283954,241.0,0.625925925925926,0.7410312097812097,0.11510528385528374,53.5,3,True,scale_robust
CD31,medulla,0.490953600623412,0.31122855429380025,-0.17972504632961173,886.5,0.4777377613462519,0.30259158892699267,-0.17514617241925923,195.0,0.5074074074074074,0.315766607646403,-0.1916407997610044,36.0,3,True,scale_robust
CD31,pooled,0.48191563117252423,0.521980339970957,0.040064708798432824,1824.5,0.4954310774865145,0.5486780103230251,0.05324693283651061,436.0,0.5296296296296297,0.5322562372594342,0.0026266076298044894,89.5,3,True,scale_robust
CD34,cortex,0.440137151242191,0.7183250342033984,0.27818788296120744,852.0,0.48080589687668185,0.7425697522350707,0.26176385535838886,234.0,0.5152373033470594,0.740691823899371,0.22545452055231163,53.0,3,True,scale_robust
CD34,medulla,0.42049540310924344,0.32867143992870096,-0.09182396318054248,961.5,0.4188096094416027,0.317203366853988,-0.10160624258761475,210.0,0.5614035087719298,0.34204545454545454,-0.21935805422647525,38.5,3,True,scale_robust
CD34,pooled,0.4176522536024902,0.5172197159668538,0.09956746236436359,1813.5,0.4488921878680341,0.5460566585172848,0.09716447064925071,444.0,0.5130108623369214,0.5357137411854392,0.02270287884851785,91.5,3,True,scale_robust
CD45,cortex,0.6766224811256705,0.9195431501178759,0.24292066899220544,925.0,0.7538026062807093,0.9306847305320587,0.17688212425134942,230.5,0.7581018518518519,0.9102493036595791,0.15214745180772726,52.0,3,True,scale_robust
CD45,medulla,0.5295614545800882,0.4653789669133711,-0.06418248766671708,888.5,0.5725425787045505,0.4353701092798764,-0.1371724694246741,198.0,0.6291666666666667,0.5026848076224313,-0.12648185904423537,37.5,3,True,scale_robust
CD45,pooled,0.5901148264977272,0.6803671091736749,0.09025228267594776,1813.5,0.6577825489886082,0.696629152467216,0.0388466034786078,428.5,0.6557098765432099,0.7186164157439843,0.06290653920077438,89.5,3,True,scale_robust
endothelial_cd31cd34,cortex,0.549989288933797,0.7518547316656926,0.20186544273189566,543.5,0.5980554426890381,0.7636598591700632,0.16560441648102509,155.0,0.6183894230769231,0.8290223065970574,0.21063288352013432,39.5,3,True,scale_robust
endothelial_cd31cd34,medulla,0.5418200923132461,0.33765195026636563,-0.2041681420468805,543.5,0.538252086078173,0.33259106475716066,-0.20566102132101233,112.0,0.594047619047619,0.35520186335403725,-0.2388457556935818,22.0,3,True,scale_robust
endothelial_cd31cd34,pooled,0.5310592047561673,0.5360428824076177,0.004983677651450358,1087.0,0.5727133583841544,0.5642538627047293,-0.008459495679425055,267.0,0.5880532661782661,0.5841256371102537,-0.003927629068012473,61.5,3,False,scale_dependent
neutrophil,cortex,0.34952905863478756,0.9852941176470589,0.6357650590122713,190.5,,,,,,,,,1,False,thins_out
neutrophil,medulla,0.3240089003447782,0.6332505910165485,0.30924169067177026,160.5,,,,,,,,,1,False,thins_out
neutrophil,pooled,0.3183374752985465,0.810696472442405,0.49235899714385845,351.0,,,,,,,,,1,False,thins_out
