category,timepoint,self_enrichment,d7_self_enrichment,category_type,status
endothelial,D1,1.3964184483247033,2.4775205222456385,pure_lineage,focal
endothelial,D3,1.633035518046131,2.4775205222456385,pure_lineage,focal
endothelial,D7,2.4775205222456385,2.4775205222456385,pure_lineage,focal
endothelial,Sham,1.4615073831993073,2.4775205222456385,pure_lineage,focal
endothelial+immune,D1,1.5398160359201,2.0263057763077943,interface,focal
endothelial+immune,D3,1.7778254852833213,2.0263057763077943,interface,focal
endothelial+immune,D7,2.0263057763077943,2.0263057763077943,interface,focal
endothelial+immune,Sham,1.3637295170286097,2.0263057763077943,interface,focal
endothelial+immune+stromal,D1,1.3355832588185834,1.3509881462723294,interface,diffuse
endothelial+immune+stromal,D3,1.2470592114836505,1.3509881462723294,interface,diffuse
endothelial+immune+stromal,D7,1.3509881462723294,1.3509881462723294,interface,diffuse
endothelial+immune+stromal,Sham,1.5004123581960622,1.3509881462723294,interface,diffuse
endothelial+stromal,D1,1.4820486318369532,3.2589030334944433,interface,focal
endothelial+stromal,D3,1.6686694571597716,3.2589030334944433,interface,focal
endothelial+stromal,D7,3.2589030334944433,3.2589030334944433,interface,focal
endothelial+stromal,Sham,1.4411380227267283,3.2589030334944433,interface,focal
immune,D1,1.6462095142509006,2.4276386539197796,pure_lineage,focal
immune,D3,2.366531706223911,2.4276386539197796,pure_lineage,focal
immune,D7,2.4276386539197796,2.4276386539197796,pure_lineage,focal
immune,Sham,1.5078804959635992,2.4276386539197796,pure_lineage,focal
immune+stromal,D1,2.583488110102886,2.5781861931437557,interface,focal
immune+stromal,D3,2.6768839016478423,2.5781861931437557,interface,focal
immune+stromal,D7,2.5781861931437557,2.5781861931437557,interface,focal
immune+stromal,Sham,1.7218471408000655,2.5781861931437557,interface,focal
none,D1,1.47368246783212,2.2592539775773446,no_lineage,focal
none,D3,1.5967170253869576,2.2592539775773446,no_lineage,focal
none,D7,2.2592539775773446,2.2592539775773446,no_lineage,focal
none,Sham,1.3318230624167648,2.2592539775773446,no_lineage,focal
stromal,D1,1.66400355145137,3.5667117638717794,pure_lineage,focal
stromal,D3,2.8266168446048225,3.5667117638717794,pure_lineage,focal
stromal,D7,3.5667117638717794,3.5667117638717794,pure_lineage,focal
stromal,Sham,1.6629183861006174,3.5667117638717794,pure_lineage,focal
