scale_um,region,timepoint,category,enrichment_score,log2_enrichment,n_focal_cells,n_rois,n_mice_effective,below_min_support,insufficient_support,mouse_values
10.0,Cortex,D1,endothelial,1.287708815953563,0.3648063999177885,1155,3,2,False,False,"[0.25932852404696827, 0.4702842757886088]"
10.0,Cortex,D1,endothelial+immune,1.255522131735372,0.32828745996221925,725,3,2,False,False,"[0.32008134147007383, 0.3364935784543647]"
10.0,Cortex,D1,endothelial+immune+stromal,1.3339492471553014,0.4157037772644323,1804,3,2,False,False,"[0.3916518857887541, 0.4397556687401106]"
10.0,Cortex,D1,endothelial+stromal,1.6078766583987156,0.6851567403840899,813,3,2,False,False,"[0.42856320104723217, 0.9417502797209476]"
10.0,Cortex,D1,immune,1.503177325041335,0.5880152094323743,501,3,2,False,False,"[0.3809069090061519, 0.7951235098585967]"
10.0,Cortex,D1,immune+stromal,2.4917602933503558,1.3171652881740161,355,3,2,False,False,"[1.0153278718209957, 1.6190027045270365]"
10.0,Cortex,D1,none,1.403430758141455,0.488957886543569,1463,3,2,False,False,"[0.35176197291604666, 0.6261538001710912]"
10.0,Cortex,D1,stromal,1.5858513436539081,0.665257540383059,340,3,2,False,False,"[0.6262998852299895, 0.7042151955361284]"
10.0,Cortex,D3,endothelial,1.6247314089080827,0.7002012399479982,1055,3,2,False,False,"[0.7837920635126651, 0.6166104163833315]"
10.0,Cortex,D3,endothelial+immune,1.6300935124115796,0.7049547288874778,704,3,2,False,False,"[0.47333391458670165, 0.9365755431882539]"
10.0,Cortex,D3,endothelial+immune+stromal,1.2695909393695104,0.3443637373080083,2436,3,2,False,False,"[0.36889380422668455, 0.319833670389332]"
10.0,Cortex,D3,endothelial+stromal,1.9813860638990304,0.9865100100645117,746,3,2,False,False,"[1.4530069713865121, 0.5200130487425112]"
10.0,Cortex,D3,immune,2.5825606970723065,1.368802256674525,301,3,2,False,False,"[1.6892920280676949, 1.0483124852813552]"
10.0,Cortex,D3,immune+stromal,3.0009929712679586,1.5854399399529508,452,3,2,False,False,"[1.7256788424472351, 1.4452010374586666]"
10.0,Cortex,D3,none,1.74417714421233,0.8025465722812428,1245,3,2,False,False,"[0.9468188938371589, 0.6582742507253266]"
10.0,Cortex,D3,stromal,3.5088243889276285,1.8109877449577791,260,3,2,False,False,"[2.8043533859949816, 0.8176221039205765]"
10.0,Cortex,D7,endothelial,2.9402546120817674,1.5559410910081857,759,3,2,False,False,"[1.078414230406761, 2.03346795160961]"
10.0,Cortex,D7,endothelial+immune,2.114550699267264,1.0803511513833108,548,3,2,False,False,"[0.6603682069234813, 1.5003340958431404]"
10.0,Cortex,D7,endothelial+immune+stromal,1.3308930376146118,0.4123946281214643,3173,3,2,False,False,"[0.35405776139776035, 0.47073149484516835]"
10.0,Cortex,D7,endothelial+stromal,3.770393913628922,1.9147152575924524,393,3,2,False,False,"[1.336151176875715, 2.49327933830919]"
10.0,Cortex,D7,immune,2.0942331030110735,1.0664220334059231,248,3,2,False,False,"[0.766099587746331, 1.3667444790655154]"
10.0,Cortex,D7,immune+stromal,2.630715010602574,1.3954549675992127,895,3,2,False,False,"[1.557629551917852, 1.2332803832805732]"
10.0,Cortex,D7,none,2.43708500339605,1.2851565718816196,1111,3,2,False,False,"[1.2198737584788582, 1.3504393852843812]"
10.0,Cortex,D7,stromal,3.0984711605870743,1.6315565403051213,142,3,2,False,False,"[1.5103302416561128, 1.7527828389541296]"
10.0,Cortex,Sham,endothelial,1.4314606674006054,0.5174880295928144,951,3,2,False,False,"[0.5134070797462117, 0.521568979439417]"
10.0,Cortex,Sham,endothelial+immune,1.1849475915013448,0.24482325224325263,637,3,2,False,False,"[0.2654577479832099, 0.2241887565032953]"
10.0,Cortex,Sham,endothelial+immune+stromal,1.5478760559188085,0.6302899542535012,1440,3,2,False,False,"[0.6797749230018784, 0.580804985505124]"
10.0,Cortex,Sham,endothelial+stromal,1.5335499939988309,0.6168751994829977,596,3,2,False,False,"[0.6125353105063929, 0.6212150884596027]"
10.0,Cortex,Sham,immune,1.3878000243079154,0.4727996970773227,658,3,2,False,False,"[0.30766097150336025, 0.6379384226512852]"
10.0,Cortex,Sham,immune+stromal,1.7908496900866466,0.8406442538695245,617,3,2,False,False,"[0.7267076324982671, 0.954580875240782]"
10.0,Cortex,Sham,none,1.2459108317439385,0.31720082020452417,1915,3,2,False,False,"[0.33125702120110184, 0.3031446192079465]"
10.0,Cortex,Sham,stromal,1.5426317571631072,0.6253937161415828,385,3,2,False,False,"[0.6511660197351542, 0.5996214125480114]"
10.0,Medulla,D1,endothelial,1.5165242911642605,0.6007686067398926,960,3,2,False,False,"[0.5604541913855835, 0.6410830220942018]"
10.0,Medulla,D1,endothelial+immune,1.6603881740351933,0.7315205616256237,524,3,2,False,False,"[0.6128289276040386, 0.850212195647209]"
10.0,Medulla,D1,endothelial+immune+stromal,1.3760388296649202,0.4605211812134287,1861,3,2,False,False,"[0.5752264008062777, 0.3458159616205797]"
10.0,Medulla,D1,endothelial+stromal,1.435257750238921,0.521309846029715,1119,3,2,False,False,"[0.5540069501215696, 0.4886127419378603]"
10.0,Medulla,D1,immune,1.9082139128031297,0.9322229080529657,373,3,2,False,False,"[1.140903543780409, 0.7235422723255225]"
10.0,Medulla,D1,immune+stromal,2.466107101397127,1.3022354563908838,560,3,2,False,False,"[1.0795475457701083, 1.5249233670116595]"
10.0,Medulla,D1,none,1.5905411882681741,0.6695177320414256,1428,3,2,False,False,"[0.7401640715583668, 0.5988713925244845]"
10.0,Medulla,D1,stromal,1.8075276672175216,0.8540177301927288,479,3,2,False,False,"[1.0136170366241537, 0.6944184237613038]"
10.0,Medulla,D3,endothelial,1.6545828584240647,0.7264675409368151,989,3,2,False,False,"[0.7332915371801625, 0.7196435446934677]"
10.0,Medulla,D3,endothelial+immune,1.781092290903029,0.8327622745408245,626,3,2,False,False,"[0.8610270156406001, 0.8044975334410489]"
10.0,Medulla,D3,endothelial+immune+stromal,1.2332235469056982,0.3024343413301548,2135,3,2,False,False,"[0.291234308206206, 0.3136343744541036]"
10.0,Medulla,D3,endothelial+stromal,1.4738079374978261,0.5595485287251929,802,3,2,False,False,"[0.5385593772040767, 0.5805376802463093]"
