cell_type,timepoint,n_mice_cortex,n_mice_medulla,mean_cortex,mean_medulla,std_cortex,std_medulla,fold_change,u_statistic,p_value_raw,hedges_g,bootstrap_range_min,bootstrap_range_max,p_value_fdr,significant_fdr
neutrophil,D1,2,2,0.04995639678807928,0.04658123349253743,0.017491874593637952,0.00015527175383155982,0.9324391679202302,2.0,1.0,0.15592590508274382,-46.807052141098254,81.93957001006659,1.0,False
activated_m2_cd44,D1,2,2,0.007362562040366035,0.0061557870571030395,0.006527952149023107,0.0018153974829528358,0.8361153234470463,2.0,1.0,0.1439296993681588,-1.5175943233947242,2.5919832274156835,1.0,False
activated_m2_cd140b,D1,2,2,0.0004177244538203745,0.0005187000082643668,6.607200330354141e-06,0.000733552586490504,1.2411503639749424,2.0,1.0,-0.11123573449696286,-75.79208320243204,51.09158479845477,1.0,False
m2_macrophage,D1,2,2,0.0026249914598680405,0.007212121550787887,0.0025440097484643064,0.0027350967119675424,2.7468183583317347,0.0,0.3333333333333333,-0.99240344026161,-2.0714831446096134,-0.823825000667537,0.9374999999999999,False
activated_myeloid_cd44,D1,2,2,0.005205661108389703,0.005346235832638313,0.002568538048551446,9.633582352215266e-05,1.0269990155537676,2.0,1.0,-0.04419701493366409,-16.41484447059943,14.056396114294179,1.0,False
activated_myeloid_cd140b,D1,2,2,0.00031263828316043337,0.001022317116508539,0.00014200708743478826,0.0002767752838582298,3.262730257916531,0.0,0.3333333333333333,-1.8436019144569677,-5.15230909763559,-1.7789167785796602,0.9374999999999999,False
myeloid,D1,2,2,0.003976416189200366,0.004992287145552255,0.0009503466036285917,0.00016996012821781956,1.2554097705717144,0.0,0.3333333333333333,-0.8503486499995555,-8.025428796581185,-0.7616459396660239,0.9374999999999999,False
activated_immune,D1,2,2,0.001565811644621557,0.0005114052222470985,0.00012218548644372582,0.0004251304755435672,0.32703689942951847,4.0,0.3333333333333333,1.926318875515648,1.840067535678213,8.961954456497075,0.9374999999999999,False
immune_cells,D1,2,2,0.014325948162996777,0.012372204945163489,0.0033197629456418894,0.005439089924414351,0.8636315846469411,3.0,0.6666666666666666,0.2477748456115523,-0.4606318174224989,1.4118219910398244,1.0,False
activated_endothelial_cd44,D1,2,2,0.0027346385873946067,0.0027461284303938963,0.0021149298156903154,0.0007098546365739751,1.0042000588280313,2.0,1.0,-0.0041621238702563195,-1.7155857774530274,1.689424941599072,1.0,False
activated_endothelial_cd140b,D1,2,2,0.003658648487692779,0.0028675942764359976,0.0010850995980697502,3.610734862080643e-05,0.7838442096509929,3.0,0.6666666666666666,0.5888074368568125,0.5320641657426853,34.877256314546095,1.0,False
endothelial,D1,2,2,0.013995647778872772,0.018689599345440115,0.0011002144999647358,0.0005555320331345282,1.3353625554293527,0.0,0.3333333333333333,-3.077684642013537,-7.959900476319228,-3.077684642013537,0.9374999999999999,False
activated_fibroblast_cd44,D1,2,2,0.0008297510278130669,0.0007097756393654026,0.0005789880058656849,0.0001445923412812537,0.8555820162347595,2.0,1.0,0.16246595242816664,-1.6176204898149167,2.9586978149361274,1.0,False
activated_fibroblast_cd140b,D1,2,2,0.0106366474695351,0.007570704286853894,0.0018976961307240778,0.002093842603831102,0.7117837199003176,4.0,0.3333333333333333,0.8767826902149763,0.6654074448652006,1.936104350095258,0.9374999999999999,False
fibroblast,D1,2,2,0.0052238916708338065,0.008246173405184616,0.00037796579809326033,0.0015443665149167578,1.5784391188857896,0.0,0.3333333333333333,-1.53613615375173,-8.796742021634264,-1.4416215256475062,0.9374999999999999,False
neutrophil,D3,2,2,0.05267655627143636,0.05959201186422229,0.021687761530857764,0.011378225079590059,1.1312789749993726,2.0,1.0,-0.22818452412799858,-1.5803465403711143,0.5980260093672108,1.0,False
activated_m2_cd44,D3,2,2,0.0035269226326781764,0.006422536933452639,0.000345348082787985,0.004830478468170494,1.8207703519213219,2.0,1.0,-0.4831927701303909,-14.768528877832411,1.2169278132806967,1.0,False
activated_m2_cd140b,D3,2,2,0.0015452817983748267,0.0007373541238762585,0.0012964968263896191,0.000172183902873989,0.47750295234172946,3.0,0.6666666666666666,0.499207819976914,-0.5107978790721197,8.094598060961644,1.0,False
m2_macrophage,D3,2,2,0.003109084967682583,0.005500562665890137,0.0009150548245274395,0.0035266099548246018,1.7689428819655415,1.0,0.6666666666666666,-0.530441408151191,-4.314289601366064,0.09026766548821634,1.0,False
activated_myeloid_cd44,D3,2,2,0.0013497839357562405,0.002304372443471898,0.00016795509655001683,0.00022147449948797376,1.7066922269705764,0.0,0.3333333333333333,-2.7753398319980747,-5.346553235663606,-2.7753398319980747,0.9374999999999999,False
activated_myeloid_cd140b,D3,2,2,0.0004103405826836274,0.00020496252113899174,0.0005803092172232643,0.0002898607771729443,0.5007104326912543,2.5,1.0,0.2558612146562593,-0.5714285714285714,1.7166027394574228,1.0,False
myeloid,D3,2,2,0.002279554860105626,0.003574832325211343,0.0002580779040047058,0.0004117441155682343,1.567965931346078,0.0,0.3333333333333333,-2.1540577917257964,-4.967587669001071,-2.1540577917257964,0.9374999999999999,False
