roi_id,timepoint,region,replicate,mouse,n_total,n_assigned,assignment_rate,neutrophil_count,neutrophil_prop,activated_m2_cd44_count,activated_m2_cd44_prop,activated_m2_cd140b_count,activated_m2_cd140b_prop,m2_macrophage_count,m2_macrophage_prop,activated_myeloid_cd44_count,activated_myeloid_cd44_prop,activated_myeloid_cd140b_count,activated_myeloid_cd140b_prop,myeloid_count,myeloid_prop,activated_immune_count,activated_immune_prop,immune_cells_count,immune_cells_prop,activated_endothelial_cd44_count,activated_endothelial_cd44_prop,activated_endothelial_cd140b_count,activated_endothelial_cd140b_prop,endothelial_count,endothelial_prop,activated_fibroblast_cd44_count,activated_fibroblast_cd44_prop,activated_fibroblast_cd140b_count,activated_fibroblast_cd140b_prop,fibroblast_count,fibroblast_prop,unassigned_count,unassigned_prop,lineage_immune_mean,lineage_endothelial_mean,lineage_stromal_mean,subtype_m2_macrophage_count,subtype_m2_macrophage_prop,subtype_myeloid_count,subtype_myeloid_prop,subtype_neutrophil_count,subtype_neutrophil_prop,subtype_non_myeloid_immune_count,subtype_non_myeloid_immune_prop,subtype_none_count,subtype_none_prop,mixed_fraction
roi_IMC_241218_Alun_ROI_D1_M1_01_9,D1,Medulla,D1_MS1_01,MS1,2463,575,0.23345513601299228,81,0.03288672350791717,4,0.0016240357287860333,15,0.0060901339829476245,25,0.010150223304912708,4,0.0016240357287860333,21,0.008526187576126675,36,0.014616321559074299,3,0.001218026796589525,36,0.014616321559074299,111,0.04506699147381242,26,0.010556232237109216,28,0.011368250101502234,76,0.030856678846934632,38,0.015428339423467316,71,0.02882663418595209,1888,0.7665448639870077,0.40968369610717487,0.41137188547887227,0.40739283506295043,341,0.13844904587900933,201,0.08160779537149818,378,0.15347137637028013,170,0.06902151847340642,1373,0.5574502639058059,0.4571660576532684
roi_IMC_241218_Alun_ROI_D1_M1_02_10,D1,Cortex,D1_MS1_02,MS1,2379,595,0.25010508617065996,95,0.039932744850777635,11,0.004623791509037411,16,0.006725514922236234,33,0.013871374527112233,2,0.0008406893652795292,2,0.0008406893652795292,1,0.0004203446826397646,29,0.012189995796553174,60,0.025220680958385876,89,0.03741067675493905,21,0.008827238335435058,82,0.034468263976460696,96,0.0403530895334174,13,0.00546448087431694,45,0.018915510718789406,1784,0.74989491382934,0.4154396755077993,0.406952824817253,0.40664468505536305,439,0.18453131567885667,30,0.012610340479192938,248,0.10424548129466163,327,0.13745271122320302,1335,0.5611601513240857,0.49600672551492225
roi_IMC_241218_Alun_ROI_D1_M1_03_11,D1,Cortex,D1_MS1_03,MS1,2356,609,0.25848896434634977,75,0.03183361629881155,8,0.003395585738539898,5,0.0021222410865874364,5,0.0021222410865874364,17,0.007215619694397283,8,0.003395585738539898,20,0.008488964346349746,24,0.010186757215619695,75,0.03183361629881155,80,0.03395585738539898,77,0.03268251273344652,53,0.022495755517826826,66,0.02801358234295416,11,0.00466893039049236,85,0.03607809847198642,1747,0.7415110356536503,0.4250405420873244,0.4056026686593628,0.41045943161794357,257,0.10908319185059423,100,0.042444821731748725,349,0.14813242784380307,359,0.15237691001697792,1291,0.547962648556876,0.44991511035653653
roi_IMC_241218_Alun_ROI_D1_M2_01_12,D1,Medulla,D1_MS2_01,MS2,2469,542,0.21952207371405427,55,0.02227622519238558,14,0.005670311867152693,2,0.0008100445524503848,37,0.014985824220332119,4,0.0016200891049007696,2,0.0008100445524503848,13,0.005265289590927501,3,0.001215066828675577,30,0.012150668286755772,117,0.04738760631834751,10,0.004050222762251924,45,0.018226002430133656,148,0.059943296881328476,27,0.010935601458080195,35,0.014175779667881734,1927,0.7804779262859457,0.4070470664605432,0.4093738966179613,0.4036595763172499,349,0.14135277440259214,133,0.05386796273795059,436,0.1765897124341839,175,0.07087889833940866,1376,0.5573106520858647,0.5058728230052653
roi_IMC_241218_Alun_ROI_D1_M2_02_13,D1,Cortex,D1_MS2_02,MS2,2421,520,0.214787277984304,31,0.012804626187525816,4,0.0016522098306484924,1,0.0004130524576621231,2,0.0008261049153242462,2,0.0008261049153242462,2,0.0008261049153242462,3,0.0012391573729863693,3,0.0012391573729863693,114,0.04708798017348203,91,0.0375877736472532,34,0.014043783560512184,16,0.00660883932259397,82,0.033870301528294094,66,0.027261462205700124,69,0.028500619578686492,1901,0.785212722015696,0.4074303107769895,0.41297744241831924,0.41640852560908614,204,0.08426270136307311,66,0.027261462205700124,239,0.09871953738124742,566,0.23378769103676167,1346,0.5559686080132177,0.5154894671623296
roi_IMC_241218_Alun_ROI_D1_M2_03_14,D1,Medulla,D1_MS2_03,MS2,2372,715,0.301433389544688,104,0.04384485666104553,33,0.01391231028667791,11,0.00463743676222597,15,0.006323777403035413,15,0.006323777403035413,4,0.0016863406408094434,0,0.0,3,0.0012647554806070826,81,0.03414839797639123,178,0.07504215851602024,66,0.02782462057335582,72,0.03035413153456998,49,0.02065767284991568,29,0.012225969645868466,55,0.023187183811129847,1657,0.698566610455312,0.41318845469186555,0.41682633483928,0.4179666435796148,305,0.12858347386172006,73,0.030775716694772345,267,0.11256323777403035,405,0.17074198988195616,1322,0.5573355817875211,0.463743676222597
roi_IMC_241218_Alun_ROI_D3_M1_01_15,D3,Medulla,D3_MS1_01,MS1,2431,442,0.18181818181818182,42,0.01727684080625257,5,0.0020567667626491155,1,0.00041135335252982314,3,0.0012340600575894694,7,0.002879473467708762,5,0.0020567667626491155,6,0.0024681201151789387,4,0.0016454134101192926,64,0.02632661456190868,42,0.01727684080625257,33,0.013574660633484163,20,0.008227067050596462,90,0.03702180172768408,93,0.03825586178527355,27,0.011106540518305225,1989,0.8181818181818182,0.4063526202883497,0.41052257450208196,0.4063498620628999,246,0.10119292472233649,164,0.067461949814891,294,0.12093788564376799,373,0.153434800493624,1354,0.5569724393253805,0.4956807897984369
roi_IMC_241218_Alun_ROI_D3_M1_02_16,D3,Medulla,D3_MS1_02,MS1,2448,650,0.26552287581699346,51,0.020833333333333332,11,0.004493464052287581,19,0.007761437908496732,3,0.0012254901960784314,5,0.002042483660130719,7,0.0028594771241830064,0,0.0,10,0.004084967320261438,52,0.021241830065359478,138,0.056372549019607844,13,0.0053104575163398695,61,0.024918300653594773,104,0.042483660130718956,35,0.014297385620915032,141,0.05759803921568627,1798,0.7344771241830066,0.40717192430226573,0.4063523213212666,0.41448532299792407,305,0.12459150326797386,69,0.028186274509803922,247,0.10089869281045752,477,0.1948529411764706,1350,0.5514705882352942,0.4554738562091503
roi_IMC_241218_Alun_ROI_D3_M1_03_17,D3,Cortex,D3_MS1_03,MS1,2437,471,0.19327041444398851,12,0.004924086992203529,6,0.0024620434961017644,3,0.0012310217480508822,13,0.005334427574887156,2,0.0008206811653672548,0,0.0,4,0.0016413623307345096,8,0.003282724661469019,65,0.026672137874435783,106,0.04349610176446451,16,0.006565449322938038,17,0.006975789905621666,68,0.027903159622486663,13,0.005334427574887156,138,0.056627000410340585,1966,0.8067295855560115,0.41089219277215894,0.4074996930127665,0.41758165713995965,277,0.11366434140336479,89,0.03652031185884284,310,0.1272055806319245,382,0.15675010258514568,1379,0.5658596635207221,0.50225687320476
roi_IMC_241218_Alun_ROI_D3_M2_01_18,D3,Cortex,D3_MS2_01,MS2,2398,807,0.3365304420350292,6,0.0025020850708924102,17,0.007089241034195163,53,0.022101751459549623,9,0.0037531276063386154,5,0.002085070892410342,9,0.0037531276063386154,6,0.0025020850708924102,1,0.0004170141784820684,222,0.09257714762301918,237,0.09883236030025021,29,0.012093411175979984,41,0.017097581317764805,25,0.010425354462051709,47,0.019599666388657216,100,0.041701417848206836,1591,0.6634695579649708,0.4008567679782052,0.40711482401308474,0.4100039806810898,303,0.1263552960800667,50,0.020850708924103418,199,0.08298582151793162,516,0.2151793160967473,1330,0.554628857381151,0.4866555462885738
