cell_type,comparison,timepoint_1,timepoint_2,n_mice_1,n_mice_2,mean_1,mean_2,std_1,std_2,fold_change,log2_fc,u_statistic,p_value_raw,hedges_g,bootstrap_range_min,bootstrap_range_max,hedges_g_clr,p_value_fdr,significant_fdr
neutrophil,Sham_vs_D1,Sham,D1,2,2,0.04818170475495891,0.050311953378769196,0.0021695358284576985,0.009619106791697954,1.0442118937623783,0.062414496449577764,2.0,1.0,-0.17458138741992238,-3.327040379797174,1.740064187271748,-0.02855806519668771,1.0,False
neutrophil,Sham_vs_D3,Sham,D3,2,2,0.04818170475495891,0.06003114796097453,0.0021695358284576985,0.003524779710749395,1.2459273149209436,0.3172199066750926,0.0,0.3333333333333333,-2.313577602482182,-5.342136252167819,-2.313577602482182,-1.1177989843010634,0.5,False
neutrophil,Sham_vs_D7,Sham,D7,2,2,0.04818170475495891,0.06848286597734524,0.0021695358284576985,0.006252280726935577,1.4213371027141635,0.5072487634030105,0.0,0.3333333333333333,-2.4789695116354165,-9.208673724043692,-2.4256877827751064,-1.1470804548948081,0.5,False
neutrophil,D1_vs_D3,D1,D3,2,2,0.050311953378769196,0.06003114796097453,0.009619106791697954,0.003524779710749395,1.1931747975324898,0.25480541022551473,0.0,0.3333333333333333,-0.7666785994146782,-3.787733946111073,-0.6071390621109208,-0.6083604923421523,0.5,False
neutrophil,D1_vs_D7,D1,D7,2,2,0.050311953378769196,0.06848286597734524,0.009619106791697954,0.006252280726935577,1.3611577412635791,0.4448342669534326,0.0,0.3333333333333333,-1.2799578432272722,-3.2277737056953972,-1.1551574668301756,-0.6772308642797,0.5,False
neutrophil,D3_vs_D7,D3,D7,2,2,0.06003114796097453,0.06848286597734524,0.003524779710749395,0.006252280726935577,1.1407865336063765,0.19002885672791786,0.0,0.3333333333333333,-0.9516006545603689,-2.951319590355675,-0.7702564781837867,-0.11649002661869028,0.5,False
activated_m2_cd44,Sham_vs_D1,Sham,D1,2,2,0.02525844844738887,0.026733034193474812,0.0033693441359776135,0.012258456629850764,1.0583775908312985,0.08185442067970625,2.0,1.0,-0.09373384264909891,-2.4326626381819043,1.7253171212125888,0.03415457670891591,1.0,False
activated_m2_cd44,Sham_vs_D3,Sham,D3,2,2,0.02525844844738887,0.037459550175672034,0.0033693441359776135,0.0021112235402976254,1.4830312013223876,0.5685489508064021,0.0,0.3333333333333333,-2.4797823709521274,-5.582222084518821,-2.4797823709521274,-1.4898672697987623,0.5,False
activated_m2_cd44,Sham_vs_D7,Sham,D7,2,2,0.02525844844738887,0.03982979777782228,0.0033693441359776135,0.015474839358680456,1.576867280407292,0.6570612384696672,0.0,0.3333333333333333,-0.7435204619166613,-6.119349344762676,-0.6365228580650136,-0.510841646443504,0.5,False
activated_m2_cd44,D1_vs_D3,D1,D3,2,2,0.026733034193474812,0.037459550175672034,0.012258456629850764,0.0021112235402976254,1.4012307272658209,0.48669453012669595,0.0,0.3333333333333333,-0.6968712495119451,-7.423736042931017,-0.6087161462975607,-0.8320224158582797,0.5,False
activated_m2_cd44,D1_vs_D7,D1,D7,2,2,0.026733034193474812,0.03982979777782228,0.012258456629850764,0.015474839358680456,1.4898910313933875,0.575206817789961,1.0,0.6666666666666666,-0.5361091468899433,-1.5847466922233395,-0.14202586449952273,-0.45143780793513244,0.7792207792207793,False
activated_m2_cd44,D3_vs_D7,D3,D7,2,2,0.037459550175672034,0.03982979777782228,0.0021112235402976254,0.015474839358680456,1.0632731657980175,0.08851228766326515,2.0,1.0,-0.12264219381589996,-5.095725042704604,3.2811854824317463,0.11667078996668269,1.0,False
activated_m2_cd140b,Sham_vs_D1,Sham,D1,2,2,0.0024540439061670315,0.00211801669659502,0.000414894915663003,0.0008658463680483781,0.8631278207579438,-0.21235387068759645,3.0,0.6666666666666666,0.2828306762509349,-0.538011800369838,1.847022744485257,0.3817216077974461,0.7792207792207793,False
activated_m2_cd140b,Sham_vs_D3,Sham,D3,2,2,0.0024540439061670315,0.006371927031029921,0.000414894915663003,0.0020075210770686834,2.595850532457374,1.3762073161989543,0.0,0.3333333333333333,-1.5444932025218665,-10.396084465292136,-1.4590356787672385,-2.311319665954784,0.5,False
activated_m2_cd140b,Sham_vs_D7,Sham,D7,2,2,0.0024540439061670315,0.012055595828701885,0.000414894915663003,0.007280945507969193,4.910949168125224,2.2960018896736845,0.0,0.3333333333333333,-1.0639632775000374,-28.729602425181085,-1.0331272041214323,-1.8916855980211067,0.5,False
activated_m2_cd140b,D1_vs_D3,D1,D3,2,2,0.00211801669659502,0.006371927031029921,0.0008658463680483781,0.0020075210770686834,3.007492598463416,1.5885611868865508,0.0,0.3333333333333333,-1.5723854575197782,-5.295204495016166,-1.465941931741871,-2.227296431863476,0.5,False
activated_m2_cd140b,D1_vs_D7,D1,D7,2,2,0.00211801669659502,0.012055595828701885,0.0008658463680483781,0.007280945507969193,5.689712519998187,2.508355760361281,0.0,0.3333333333333333,-1.095268043966837,-14.080231109979426,-1.0350314140066688,-1.9970144450140341,0.5,False
activated_m2_cd140b,D3_vs_D7,D3,D7,2,2,0.006371927031029921,0.012055595828701885,0.0020075210770686834,0.007280945507969193,1.8918458927896171,0.9197945734747301,1.0,0.6666666666666666,-0.6081450352699586,-4.360421610984108,-0.21546857632586747,-0.640410963063696,0.7792207792207793,False
m2_macrophage,Sham_vs_D1,Sham,D1,2,2,0.00657032647493082,0.007309235653814892,0.00027927416854250513,0.0011655497493969409,1.112444448119107,0.1537332943494894,1.0,0.6666666666666666,-0.4982131120897766,-4.523000550366892,0.2467096716900741,-0.37204366153767854,0.7792207792207793,False
m2_macrophage,Sham_vs_D3,Sham,D3,2,2,0.00657032647493082,0.006824163614474342,0.00027927416854250513,0.002523744270633554,1.0386279909409302,0.05467901157773865,2.0,1.0,-0.08078744536192016,-5.8984007641861655,4.4293684723709355,-0.04904485918914504,1.0,False
m2_macrophage,Sham_vs_D7,Sham,D7,2,2,0.00657032647493082,0.008446015231752561,0.00027927416854250513,0.0037937572322162645,1.285435332421448,0.36225703300968837,2.0,1.0,-0.3984690872796526,-13.190073078257754,2.33489499785134,-0.24597910635813802,1.0,False
m2_macrophage,D1_vs_D3,D1,D3,2,2,0.007309235653814892,0.006824163614474342,0.0011655497493969409,0.002523744270633554,0.9336448149811133,-0.0990542827717506,2.0,1.0,0.14101181307538224,-0.9009844323656981,1.5736239384315867,0.15789046210893762,1.0,False
m2_macrophage,D1_vs_D7,D1,D7,2,2,0.007309235653814892,0.008446015231752561,0.0011655497493969409,0.0037937572322162645,1.1555051891308639,0.20852373866019905,2.0,1.0,-0.23147162769629204,-2.6481219731273637,1.0717729119666608,-0.09278017930266548,1.0,False
m2_macrophage,D3_vs_D7,D3,D7,2,2,0.006824163614474342,0.008446015231752561,0.002523744270633554,0.0037937572322162645,1.2376282399792886,0.30757802143194957,1.0,0.6666666666666666,-0.2876436153493866,-1.3783152859392853,0.3396569355551984,-0.17743205411755394,0.7792207792207793,False
activated_myeloid_cd44,Sham_vs_D1,Sham,D1,2,2,0.017165441657749424,0.016022338039286342,0.002503795501768511,0.0014553596782844577,0.9334105668924665,-0.09941629512648062,3.0,0.6666666666666666,0.3189756842172072,-0.3483489828580469,1.6178182925901572,1.054097156214455,0.7792207792207793,False
activated_myeloid_cd44,Sham_vs_D3,Sham,D3,2,2,0.017165441657749424,0.006990405837736791,0.002503795501768511,0.0009412840728566319,0.40727169771847677,-1.2959365333815558,4.0,0.3333333333333333,3.074028188438914,3.069257869146091,10.255576636949757,10.468200075480262,0.5,False
activated_myeloid_cd44,Sham_vs_D7,Sham,D7,2,2,0.017165441657749424,0.00836208373095185,0.002503795501768511,0.00043577388408791993,0.4871763116485188,-1.0374841092171228,4.0,0.3333333333333333,2.7992799798680923,2.7419067872705347,19.608627609468286,4.016440217908424,0.5,False
activated_myeloid_cd44,D1_vs_D3,D1,D3,2,2,0.016022338039286342,0.006990405837736791,0.0014553596782844577,0.0009412840728566319,0.43632642715238995,-1.1965202382550753,4.0,0.3333333333333333,4.211155991075772,4.211155991075772,8.637708607664784,14.662386878192232,0.5,False
activated_myeloid_cd44,D1_vs_D7,D1,D7,2,2,0.016022338039286342,0.00836208373095185,0.0014553596782844577,0.00043577388408791993,0.5219314296713377,-0.9380678140906423,4.0,0.3333333333333333,4.074787770610101,4.074787770610101,16.113986320586825,3.762533083660801,0.5,False
activated_myeloid_cd44,D3_vs_D7,D3,D7,2,2,0.006990405837736791,0.00836208373095185,0.0009412840728566319,0.00043577388408791993,1.1961948605259465,0.2584524241644328,0.0,0.3333333333333333,-1.0686615681494003,-3.7780137922137063,-0.9130819356702671,-0.4762789619783966,0.5,False
activated_myeloid_cd140b,Sham_vs_D1,Sham,D1,2,2,0.0018493078729909613,0.0013740495565579094,0.00046740154896679443,0.0001978635016894921,0.7431463577654174,-0.428281726884276,4.0,0.3333333333333333,0.756696626501926,0.5798052244848878,3.290921832380242,0.9501000807037054,0.5,False
activated_myeloid_cd140b,Sham_vs_D3,Sham,D3,2,2,0.0018493078729909613,0.0016041716433184477,0.00046740154896679443,5.046540021498698e-05,0.8675159776106562,-0.2050377658911189,2.0,1.0,0.4213835147485484,-1.3670080923406556,9.217931223380006,0.4805736295845065,1.0,False
activated_myeloid_cd140b,Sham_vs_D7,Sham,D7,2,2,0.0018493078729909613,0.0032541400302471195,0.00046740154896679443,0.0018598455435363793,1.7592423821800498,0.8149542659133248,1.0,0.6666666666666666,-0.5920053878229251,-4.702690244686816,-0.1551277286015723,-0.6193160253024149,0.7792207792207793,False
activated_myeloid_cd140b,D1_vs_D3,D1,D3,2,2,0.0013740495565579094,0.0016041716433184477,0.0001978635016894921,5.046540021498698e-05,1.1673554859626958,0.22324396099315702,0.0,0.3333333333333333,-0.9107187879516443,-5.9254773772414095,-0.7941300760673915,-0.7505953153338849,0.5,False
activated_myeloid_cd140b,D1_vs_D7,D1,D7,2,2,0.0013740495565579094,0.0032541400302471195,0.0001978635016894921,0.0018598455435363793,2.367289247665767,1.2432359927976009,0.0,0.3333333333333333,-0.8123345157900138,-13.049963236076383,-0.7561260598050479,-1.0650820367936134,0.5,False
activated_myeloid_cd140b,D3_vs_D7,D3,D7,2,2,0.0016041716433184477,0.0032541400302471195,5.046540021498698e-05,0.0018598455435363793,2.027907759146314,1.0199920318044438,0.0,0.3333333333333333,-0.7166644717706815,-47.480941068581,-0.7014229996526726,-0.819655761873816,0.5,False
myeloid,Sham_vs_D1,Sham,D1,2,2,0.0056393725108979335,0.005440004551065606,0.0016054157540820566,0.0005480268454497225,0.9646534055247021,-0.051917411521094615,2.0,1.0,0.0949751681327976,-1.3799812831102776,1.9679584702834105,0.13572979789171444,1.0,False
myeloid,Sham_vs_D3,Sham,D3,2,2,0.0056393725108979335,0.003884452892359316,0.0016054157540820566,0.0005028129588912249,0.6888645891476344,-0.5377076762025815,4.0,0.3333333333333333,0.8429990829764474,0.7044078898881397,4.645006864133741,1.3421314057453526,0.5,False
myeloid,Sham_vs_D7,Sham,D7,2,2,0.0056393725108979335,0.00520014703779526,0.0016054157540820566,0.0019359544469186988,0.9221282863403025,-0.11696062276598594,3.0,0.6666666666666666,0.14113171295742855,-0.46798587756084115,0.9101738684621802,0.4039061689660445,0.7792207792207793,False
myeloid,D1_vs_D3,D1,D3,2,2,0.005440004551065606,0.003884452892359316,0.0005480268454497225,0.0005028129588912249,0.7141057971727592,-0.4857902646814868,4.0,0.3333333333333333,1.6902005668322853,1.6902005668322853,3.1228983712792333,1.4955980506473128,0.5,False
myeloid,D1_vs_D7,D1,D7,2,2,0.005440004551065606,0.00520014703779526,0.0005480268454497225,0.0019359544469186988,0.9559166857849125,-0.0650432112448914,2.0,1.0,0.09633773921918333,-1.6649285516602415,2.3723177735475027,0.32629609382326935,1.0,False
myeloid,D3_vs_D7,D3,D7,2,2,0.003884452892359316,0.00520014703779526,0.0005028129588912249,0.0019359544469186988,1.3386205371382156,0.4207470534365956,1.0,0.6666666666666666,-0.5315715147544973,-4.3147279255277295,0.08555517931906789,-0.4656457649006412,0.7792207792207793,False
