cell_type,comparison,timepoint_1,timepoint_2,n_mice_1,n_mice_2,mean_1,mean_2,std_1,std_2,fold_change,log2_fc,u_statistic,p_value_raw,hedges_g,bootstrap_range_min,bootstrap_range_max,p_value_fdr,significant_fdr,hedges_g_clr
lineage:immune,Sham_vs_D1,Sham,D1,2,2,0.4107518631780474,0.4129716242719495,0.004553033884522729,0.005302848728435769,1.0054041281093637,0.0077755177491408535,1.0,0.6666666666666666,-0.25665484561559304,-1.0595214640578294,0.271546720474036,1.0,False,
lineage:immune,Sham_vs_D3,Sham,D3,2,2,0.4107518631780474,0.4067440678130334,0.004553033884522729,0.0019726082090233917,0.9902428060172115,-0.01414577970772558,3.0,0.6666666666666666,0.6527201076057646,0.3229501416439163,2.960811665688552,1.0,False,
lineage:immune,Sham_vs_D7,Sham,D7,2,2,0.4107518631780474,0.4106771091929141,0.004553033884522729,0.0003387040177206257,0.9998180073912208,-0.0002625837290378973,2.0,1.0,0.013231590062311371,-7.503079894837917,7.859794545256254,1.0,False,
lineage:immune,D1_vs_D3,D1,D3,2,2,0.4129716242719495,0.4067440678130334,0.005302848728435769,0.0019726082090233917,0.9849201712343646,-0.021921297456866294,4.0,0.3333333333333333,0.8894926656957277,0.7364760172849261,4.087392944611626,1.0,False,
lineage:immune,D1_vs_D7,D1,D7,2,2,0.4129716242719495,0.4106771091929141,0.005302848728435769,0.0003387040177206257,0.9944439051303207,-0.008038101478178693,2.0,1.0,0.3489591140772086,-3.4719135746450496,14.420990641751207,1.0,False,
lineage:immune,D3_vs_D7,D3,D7,2,2,0.4067440678130334,0.4106771091929141,0.0019726082090233917,0.0003387040177206257,1.0096695490397158,0.013883195978687524,0.0,0.3333333333333333,-1.5880172661648502,-12.71193098333544,-1.5131399329758524,1.0,False,
lineage:endothelial,Sham_vs_D1,Sham,D1,2,2,0.4084495606739035,0.41051750880517474,0.0011370608773416957,0.0035945289843593055,1.0050629092731795,0.0072858059375127794,1.0,0.6666666666666666,-0.4432669689498506,-3.2761403458401714,0.3367120588491221,1.0,False,
lineage:endothelial,Sham_vs_D3,Sham,D3,2,2,0.4084495606739035,0.4088141392221186,0.0011370608773416957,0.0009747838587974853,1.0008925891731268,0.001287159606676986,1.0,0.6666666666666666,-0.19671735519443237,-0.9688024917304725,0.36431164819430634,1.0,False,
lineage:endothelial,Sham_vs_D7,Sham,D7,2,2,0.4084495606739035,0.410483507063227,0.0011370608773416957,0.0034016597354005968,1.0049796635998436,0.007166307851465533,1.0,0.6666666666666666,-0.45827389605966895,-3.1550487147174264,0.263951273445787,1.0,False,
lineage:endothelial,D1_vs_D3,D1,D3,2,2,0.41051750880517474,0.4088141392221186,0.0035945289843593055,0.0009747838587974853,0.9958506874927179,-0.005998646330835601,2.0,1.0,0.3696020927249602,-0.6950115776611404,3.519289970222329,1.0,False,
