k,scale_um,region,timepoint,category,enrichment_score,log2_enrichment,n_focal_cells,n_rois,n_mice_effective,below_min_support,insufficient_support,mouse_values
5,10.0,Cortex,D1,endothelial,1.4145134816251725,0.5003059270212578,1155,3,2,False,False,"[0.3697552060836866, 0.6308566479588289]"
5,10.0,Cortex,D1,endothelial+immune,1.4230629685964797,0.5089995005657102,725,3,2,False,False,"[0.572026945878563, 0.44597205525285755]"
5,10.0,Cortex,D1,endothelial+immune+stromal,1.4623398273755142,0.5482786124527048,1804,3,2,False,False,"[0.5270877339493598, 0.5694694909560498]"
5,10.0,Cortex,D1,endothelial+stromal,1.8029238331323438,0.8503384495249167,813,3,2,False,False,"[0.5985913078208541, 1.1020855912289793]"
5,10.0,Cortex,D1,immune,1.6632136912841686,0.7339735393710143,501,3,2,False,False,"[0.5763938062003391, 0.8915532725416896]"
5,10.0,Cortex,D1,immune+stromal,2.9442683787549093,1.5579091833010246,355,3,2,False,False,"[1.2013597785488415, 1.9144585880532077]"
5,10.0,Cortex,D1,none,1.5773429015035638,0.6574963243786971,1463,3,2,False,False,"[0.5357666961513271, 0.779225952606067]"
5,10.0,Cortex,D1,stromal,1.7490540495596945,0.8065748723509842,340,3,2,False,False,"[0.841820353307303, 0.7713293913946655]"
5,10.0,Cortex,D3,endothelial,1.8582095550170166,0.8939132072836876,1055,3,2,False,False,"[0.9712506947397259, 0.8165757198276493]"
5,10.0,Cortex,D3,endothelial+immune,1.836376309090558,0.8768617252166994,704,3,2,False,False,"[0.5515590818922038, 1.202164368541195]"
5,10.0,Cortex,D3,endothelial+immune+stromal,1.3957008365742065,0.4809897382211877,2436,3,2,False,False,"[0.508812891606471, 0.45316658483590433]"
5,10.0,Cortex,D3,endothelial+stromal,2.2949444767607194,1.1984592499044635,746,3,2,False,False,"[1.6894471672085927, 0.7074713326003343]"
5,10.0,Cortex,D3,immune,3.1121152903099016,1.6378955068785528,301,3,2,False,False,"[1.958108786495495, 1.3176822272616107]"
5,10.0,Cortex,D3,immune+stromal,3.6708735644795927,1.876123424696361,452,3,2,False,False,"[2.0102464098306703, 1.7420004395620514]"
5,10.0,Cortex,D3,none,2.057855512618643,1.0411416904212234,1245,3,2,False,False,"[1.1539829977836753, 0.9283003830587717]"
5,10.0,Cortex,D3,stromal,3.9229029518056007,1.9719216452083734,260,3,2,False,False,"[3.205715948376749, 0.7381273420399981]"
5,10.0,Cortex,D7,endothelial,3.2517770468258647,1.701228344600744,759,3,2,False,False,"[1.212144381077329, 2.190312308124159]"
5,10.0,Cortex,D7,endothelial+immune,2.4345749104298027,1.2836698921629661,548,3,2,False,False,"[0.8395951923797196, 1.7277445919462127]"
5,10.0,Cortex,D7,endothelial+immune+stromal,1.4325054508663269,0.5185406286316439,3173,3,2,False,False,"[0.45463575982811677, 0.5824454974351708]"
5,10.0,Cortex,D7,endothelial+stromal,4.366702013431091,2.1265440840347383,393,3,2,False,False,"[1.409866358703328, 2.843221809366149]"
5,10.0,Cortex,D7,immune,2.7033097165628415,1.4347268100420458,248,3,2,False,False,"[1.1090452925322996, 1.7604083275517923]"
5,10.0,Cortex,D7,immune+stromal,3.0028728515619343,1.5863433892125598,895,3,2,False,False,"[1.8122213622497507, 1.360465416175369]"
5,10.0,Cortex,D7,none,2.8741310263389637,1.5231258331037374,1111,3,2,False,False,"[1.4610815250234026, 1.5851701411840724]"
5,10.0,Cortex,D7,stromal,3.937957911713647,1.9774476920199426,142,3,2,False,False,"[1.7046128856149392, 2.250282498424946]"
5,10.0,Cortex,Sham,endothelial,1.6150699822770787,0.6915966794062925,951,3,2,False,False,"[0.7294684208066018, 0.6537249380059833]"
5,10.0,Cortex,Sham,endothelial+immune,1.3104782091931584,0.39009336453978394,637,3,2,False,False,"[0.35152745923708706, 0.4286592698424809]"
5,10.0,Cortex,Sham,endothelial+immune+stromal,1.704831434857684,0.7696290998845818,1440,3,2,False,False,"[0.7655514518550135, 0.7737067479141501]"
5,10.0,Cortex,Sham,endothelial+stromal,1.637257495212261,0.7112812355884512,596,3,2,False,False,"[0.7799737319247328, 0.6425887392521697]"
5,10.0,Cortex,Sham,immune,1.6602348470130979,0.7313873311245,658,3,2,False,False,"[0.6232023784280645, 0.8395722838209357]"
5,10.0,Cortex,Sham,immune+stromal,2.014519799809517,1.0104359851572107,617,3,2,False,False,"[0.981794820986866, 1.0390771493275555]"
5,10.0,Cortex,Sham,none,1.334504291801858,0.41630394523357034,1915,3,2,False,False,"[0.44950257091400725, 0.3831053195531334]"
5,10.0,Cortex,Sham,stromal,1.7447139510105174,0.8029905233766681,385,3,2,False,False,"[0.8476618881862668, 0.7583191585670696]"
5,10.0,Medulla,D1,endothelial,1.6660513236177477,0.73643284439392,960,3,2,False,False,"[0.6746252113048947, 0.7982404774829452]"
5,10.0,Medulla,D1,endothelial+immune,1.9626145556414683,0.9727768649762281,524,3,2,False,False,"[0.9516308410557971, 0.9939228888966591]"
5,10.0,Medulla,D1,endothelial+immune+stromal,1.4576335741361266,0.5436280946874616,1861,3,2,False,False,"[0.6459844943516551, 0.44127169502326835]"
5,10.0,Medulla,D1,endothelial+stromal,1.5441182510124778,0.6267832406997114,1119,3,2,False,False,"[0.6037191626070216, 0.6498473187924012]"
5,10.0,Medulla,D1,immune,2.3100418120556103,1.2079189648445177,373,3,2,False,False,"[1.3090263025887363, 1.106811627100299]"
5,10.0,Medulla,D1,immune+stromal,2.954901910483521,1.563110240180214,560,3,2,False,False,"[1.3367937992424952, 1.7894266811179325]"
5,10.0,Medulla,D1,none,1.7651966180599683,0.8198288883698939,1428,3,2,False,False,"[0.8136466399759723, 0.8260111367638155]"
5,10.0,Medulla,D1,stromal,2.1357932743984134,1.0947720138637902,479,3,2,False,False,"[1.388296798286857, 0.8012472294407234]"
5,10.0,Medulla,D3,endothelial,1.7879020162310506,0.8382676735620418,989,3,2,False,False,"[0.8770384947414012, 0.7994968523826823]"
5,10.0,Medulla,D3,endothelial+immune,1.9929659695583009,0.9949170759729388,626,3,2,False,False,"[1.017879872653266, 0.9719542792926115]"
5,10.0,Medulla,D3,endothelial+immune+stromal,1.3409879994859941,0.42329632660889577,2135,3,2,False,False,"[0.4092749418521444, 0.4373177113656471]"
5,10.0,Medulla,D3,endothelial+stromal,1.5747999926053762,0.6551686108352793,802,3,2,False,False,"[0.6826344333455692, 0.6277027883249895]"
5,10.0,Medulla,D3,immune,2.682003701097712,1.4233112281266638,367,3,2,False,False,"[1.2713440340665993, 1.5752784221867282]"
5,10.0,Medulla,D3,immune+stromal,2.7770449186973263,1.4735505129355746,584,3,2,False,False,"[1.1383826898338183, 1.808718336037331]"
5,10.0,Medulla,D3,none,1.8125342657729353,0.8580082693860002,1295,3,2,False,False,"[0.6835290837935746, 1.0324874549784258]"
5,10.0,Medulla,D3,stromal,2.66238356589032,1.4127184332875142,409,3,2,False,False,"[0.7701307612337962, 2.055306105341232]"
5,10.0,Medulla,D7,endothelial,2.4393761202584443,1.286512220207268,901,3,2,False,False,"[1.156044077379349, 1.4169803630351874]"
5,10.0,Medulla,D7,endothelial+immune,2.287712507289774,1.1939057626199805,1011,3,2,False,False,"[1.1977406455996258, 1.1900708796403354]"
5,10.0,Medulla,D7,endothelial+immune+stromal,1.46921560483538,0.5550461244187033,2470,3,2,False,False,"[0.4914644636952744, 0.6186277851421322]"
5,10.0,Medulla,D7,endothelial+stromal,2.8774330165171773,1.5247823443911184,471,3,2,False,False,"[1.0867577093606158, 1.962806979421621]"
5,10.0,Medulla,D7,immune,2.7051471100111493,1.435707052134389,462,3,2,False,False,"[1.075274668608401, 1.7961394356603775]"
5,10.0,Medulla,D7,immune+stromal,2.732316763837858,1.450124748315712,852,3,2,False,False,"[1.3024953086544988, 1.5977541879769253]"
5,10.0,Medulla,D7,none,2.3502837758597965,1.232834959900416,1011,3,2,False,False,"[1.069584077762396, 1.3960858420384363]"
5,10.0,Medulla,D7,stromal,3.8951643180074362,1.9616841898464226,249,3,2,False,False,"[1.3624368603956585, 2.5609315192971867]"
5,10.0,Medulla,Sham,endothelial,1.8219731454839454,0.8655016950550808,1081,3,2,False,False,"[1.1833365934614408, 0.5476667966487208]"
5,10.0,Medulla,Sham,endothelial+immune,1.8405445359298502,0.8801326592507843,535,3,2,False,False,"[1.3114343821471997, 0.448830936354369]"
5,10.0,Medulla,Sham,endothelial+immune+stromal,1.6112117369532106,0.6881460978804472,1514,3,2,False,False,"[0.8723930077023963, 0.5038991880584982]"
5,10.0,Medulla,Sham,endothelial+stromal,1.600829110133173,0.6788193071532185,838,3,2,False,False,"[0.8269015265783463, 0.5307370877280908]"
5,10.0,Medulla,Sham,immune,1.9400517563403843,0.9560951408761146,505,3,2,False,False,"[1.1738551490373592, 0.73833513271487]"
5,10.0,Medulla,Sham,immune+stromal,2.068250367087625,1.0484108382120996,652,3,2,False,False,"[1.1503362316741617, 0.9464854447500375]"
5,10.0,Medulla,Sham,none,1.5734577501378713,0.653938440482593,1705,3,2,False,False,"[0.7930580769688537, 0.5148188039963323]"
5,10.0,Medulla,Sham,stromal,2.100654235946046,1.0708387164435365,546,3,2,False,False,"[1.2857029565908804, 0.8559744762961925]"
5,10.0,Pooled,D1,endothelial,1.522996054542493,0.6069122043994979,2115,6,2,False,False,"[0.47137854115742267, 0.7424458676415732]"
5,10.0,Pooled,D1,endothelial+immune,1.6875346138703957,0.7549170943098498,1249,6,2,False,False,"[0.6985615776043077, 0.8112726110153918]"
5,10.0,Pooled,D1,endothelial+immune+stromal,1.4392948217004502,0.5253621405421602,3665,6,2,False,False,"[0.5667199874167915, 0.48400429366752884]"
5,10.0,Pooled,D1,endothelial+stromal,1.625008203371486,0.7004470011770854,1932,6,2,False,False,"[0.6003005927495767, 0.8005934096045939]"
5,10.0,Pooled,D1,immune,1.9024146634907113,0.9278317402886169,874,6,2,False,False,"[0.8206046383298048, 1.0350588422474292]"
5,10.0,Pooled,D1,immune+stromal,2.905535774041015,1.538804217771542,915,6,2,False,False,"[1.2465044521133928, 1.831103983429691]"
5,10.0,Pooled,D1,none,1.646502508280583,0.7194047097353875,2891,6,2,False,False,"[0.6283933440928755, 0.8104160753778994]"
5,10.0,Pooled,D1,stromal,1.8759571732346487,0.9076268925295959,819,6,2,False,False,"[1.0239791683004877, 0.7912746167587041]"
5,10.0,Pooled,D3,endothelial,1.8146139600196611,0.8596626627100848,2044,6,2,False,False,"[0.9084425614075095, 0.8108827640126602]"
5,10.0,Pooled,D3,endothelial+immune,1.991607896424153,0.993933640595623,1330,6,2,False,False,"[0.8624396090662453, 1.1254276721250005]"
5,10.0,Pooled,D3,endothelial+immune+stromal,1.361473538675224,0.44516894272470264,4571,6,2,False,False,"[0.44245425843691993, 0.4478836270124853]"
5,10.0,Pooled,D3,endothelial+stromal,1.8019515833692406,0.8495602479042316,1548,6,2,False,False,"[1.018238677966577, 0.6808818178418861]"
5,10.0,Pooled,D3,immune,2.735693534929228,1.4519066218897736,668,6,2,False,False,"[1.5002656182095644, 1.403547625569983]"
5,10.0,Pooled,D3,immune+stromal,3.024343135861918,1.5966218341099565,1036,6,2,False,False,"[1.4290039298327688, 1.7642397383871444]"
5,10.0,Pooled,D3,none,1.8682509178479074,0.9016882310777989,2540,6,2,False,False,"[0.8403470551236082, 0.9630294070319897]"
5,10.0,Pooled,D3,stromal,2.6019436354525913,1.3795897100442616,669,6,2,False,False,"[1.581992490281447, 1.177186929807076]"
5,10.0,Pooled,D7,endothelial,2.7021372938986907,1.4341009789547567,1660,6,2,False,False,"[1.193444279844669, 1.6747576780648448]"
5,10.0,Pooled,D7,endothelial+immune,2.240990029760762,1.1641362302643248,1559,6,2,False,False,"[0.9589770101196883, 1.3692954504089612]"
5,10.0,Pooled,D7,endothelial+immune+stromal,1.4506902490908946,0.5367395085118238,5643,6,2,False,False,"[0.46691199445050263, 0.6065670225731451]"
5,10.0,Pooled,D7,endothelial+stromal,3.432407953967417,1.7792210324961104,864,6,2,False,False,"[1.3021634755890907, 2.2562785894031303]"
5,10.0,Pooled,D7,immune,2.7151064120486383,1.4410087420909246,710,6,2,False,False,"[1.097788417891, 1.784229066290849]"
5,10.0,Pooled,D7,immune+stromal,2.9907043628890997,1.58048530421387,1747,6,2,False,False,"[1.6423126777180002, 1.5186579307097396]"
5,10.0,Pooled,D7,none,2.6296087440782294,1.3948481588450243,2122,6,2,False,False,"[1.3305823759364004, 1.4591139417536485]"
5,10.0,Pooled,D7,stromal,4.067008562268512,2.023968028107476,391,6,2,False,False,"[1.5905542105418455, 2.4573818456731065]"
5,10.0,Pooled,Sham,endothelial,1.6608118712916666,0.7318886610630115,2032,6,2,False,False,"[0.8807578116915482, 0.583019510434475]"
5,10.0,Pooled,Sham,endothelial+immune,1.4710045821119484,0.5568017405287655,1172,6,2,False,False,"[0.671496433540458, 0.44210704751707297]"
5,10.0,Pooled,Sham,endothelial+immune+stromal,1.621692372054411,0.6975001725739283,2954,6,2,False,False,"[0.8011653038041411, 0.5938350413437155]"
5,10.0,Pooled,Sham,endothelial+stromal,1.6041606743906733,0.6818186508560272,1434,6,2,False,False,"[0.7956163301426039, 0.5680209715694505]"
5,10.0,Pooled,Sham,immune,1.7283759673540615,0.7894170758573607,1163,6,2,False,False,"[0.806753301964496, 0.7720808497502252]"
