roi_id,timepoint,mouse,region,variant,immune_mean,endothelial_mean,stromal_mean
IMC_241218_Alun_ROI_D1_M1_01_9,D1,MS1,Medulla,A_current,0.3792293226169032,0.46085966839772324,0.44480356530562043
IMC_241218_Alun_ROI_D1_M1_01_9,D1,MS1,Medulla,B_multimarker,0.5489670398634379,0.5499782330786098,0.5368756779056191
IMC_241218_Alun_ROI_D1_M1_01_9,D1,MS1,Medulla,C_cd140b_stromal,0.3792293226169032,0.46085966839772324,0.5368756779056191
IMC_241218_Alun_ROI_D1_M1_01_9,D1,MS1,Medulla,D_endothelial_max,0.3792293226169032,0.5499782330786098,0.44480356530562043
IMC_241218_Alun_ROI_D1_M1_02_10,D1,MS1,Cortex,A_current,0.4134785618222335,0.5044779181729414,0.4752673414123405
IMC_241218_Alun_ROI_D1_M1_02_10,D1,MS1,Cortex,B_multimarker,0.6109414769811058,0.5976478785136652,0.6203015950059451
IMC_241218_Alun_ROI_D1_M1_02_10,D1,MS1,Cortex,C_cd140b_stromal,0.4134785618222335,0.5044779181729414,0.6203015950059451
IMC_241218_Alun_ROI_D1_M1_02_10,D1,MS1,Cortex,D_endothelial_max,0.4134785618222335,0.5976478785136652,0.4752673414123405
IMC_241218_Alun_ROI_D1_M1_03_11,D1,MS1,Cortex,A_current,0.3783643438015617,0.5040135543138811,0.34765430829682387
IMC_241218_Alun_ROI_D1_M1_03_11,D1,MS1,Cortex,B_multimarker,0.5979290700315107,0.6071824348770433,0.5757762027759517
IMC_241218_Alun_ROI_D1_M1_03_11,D1,MS1,Cortex,C_cd140b_stromal,0.3783643438015617,0.5040135543138811,0.5757762027759517
IMC_241218_Alun_ROI_D1_M1_03_11,D1,MS1,Cortex,D_endothelial_max,0.3783643438015617,0.6071824348770433,0.34765430829682387
IMC_241218_Alun_ROI_D1_M2_01_12,D1,MS2,Medulla,A_current,0.40365416397939846,0.47141995211517235,0.5668071175572186
IMC_241218_Alun_ROI_D1_M2_01_12,D1,MS2,Medulla,B_multimarker,0.5761601101671564,0.5531056944715089,0.6238546404926637
