region,timepoint,focal_cell_type,neighbor_cell_type,log2_enrichment,enrichment_score,range_min,range_max,mouse_values,n_focal_cells,n_rois,n_mice,n_mice_effective,n_clipped_extremes,below_min_support,insufficient_support
Cortex,D1,endothelial,endothelial,0.4116842915027236,1.3302379100001154,0.16340261485146568,0.6599659681539816,"[0.16340261485146568, 0.6599659681539816]",153,3,2,2,0,False,False
Cortex,D1,endothelial,immune,-0.13920076784351693,0.9080220470691013,-0.23708773013245196,-0.04131380555458192,"[-0.04131380555458192, -0.23708773013245196]",153,3,2,2,0,False,False
Cortex,D1,endothelial,stromal,0.0369156681413923,1.0259181741632817,-0.028034083500517774,0.10186541978330238,"[-0.028034083500517774, 0.10186541978330238]",153,3,2,2,0,False,False
Cortex,D1,immune,endothelial,-0.2183988319300853,0.8595188400763036,-0.2855862478236422,-0.15121141603652835,"[-0.15121141603652835, -0.2855862478236422]",638,3,2,2,0,False,False
Cortex,D1,immune,immune,0.052960988535758105,1.0373918843976677,0.02310077995325774,0.08282119711825847,"[0.02310077995325774, 0.08282119711825847]",638,3,2,2,0,False,False
Cortex,D1,immune,stromal,-0.041667933391145356,0.9715310881231896,-0.10932299721639517,0.02598713043410445,"[0.02598713043410445, -0.10932299721639517]",638,3,2,2,0,False,False
Cortex,D1,stromal,endothelial,-0.004997279067967656,0.9965421423109205,-0.052153731794969994,0.04215917365903468,"[-0.052153731794969994, 0.04215917365903468]",116,3,2,2,0,False,False
Cortex,D1,stromal,immune,-0.09850980356977167,0.9339972429774703,-0.18414617397328087,-0.012873433166262455,"[-0.012873433166262455, -0.18414617397328087]",116,3,2,2,0,False,False
Cortex,D1,stromal,stromal,0.3367584106080169,1.262915760045675,0.12029850835701918,0.5532183128590147,"[0.12029850835701918, 0.5532183128590147]",116,3,2,2,0,False,False
Cortex,D3,endothelial,endothelial,0.48645724266985574,1.4010002786094804,0.4810201739461282,0.49189431139358325,"[0.49189431139358325, 0.4810201739461282]",251,3,2,2,0,False,False
Cortex,D3,endothelial,immune,-0.334138398208378,0.7932577420656675,-0.3849346395871018,-0.28334215682965413,"[-0.3849346395871018, -0.28334215682965413]",251,3,2,2,0,False,False
Cortex,D3,endothelial,stromal,0.2046932439954217,1.1524412805449775,0.05059309935161867,0.3587933886392247,"[0.3587933886392247, 0.05059309935161867]",251,3,2,2,0,False,False
Cortex,D3,immune,endothelial,-0.36209617151968754,0.7780333103344221,-0.4034904586153457,-0.32070188442402936,"[-0.4034904586153457, -0.32070188442402936]",577,3,2,2,0,False,False
