focal_cell_type,neighbor_cell_type,region,observed_proportion,expected_proportion,enrichment_score,log2_enrichment,fraction_significant_raw,n_focal_cells,n_rois,fraction_significant_fdr
activated_endothelial_cd140b,activated_endothelial_cd140b,Cortex,0.29319227230910766,0.11870959102038245,2.423393888169879,1.2444427928849628,1.0,1087.0,12.0,1.0
activated_endothelial_cd140b,activated_endothelial_cd140b,Medulla,0.18004722550177096,0.08573212743885751,2.151623399507381,1.0112140144700785,1.0,847.0,12.0,0.8333333333333334
activated_endothelial_cd140b,activated_endothelial_cd44,Cortex,0.12079116835326585,0.1172540588336626,0.9768852363492265,-0.10518302211240532,0.3333333333333333,1087.0,12.0,0.16666666666666666
activated_endothelial_cd140b,activated_endothelial_cd44,Medulla,0.1407319952774498,0.1561360451778232,0.8668287827893393,-0.2749340935784367,0.5,847.0,12.0,0.3333333333333333
activated_endothelial_cd140b,activated_fibroblast_cd140b,Cortex,0.04296228150873965,0.044833157945534004,0.9727997142257352,-0.08691830615723112,0.08333333333333333,1087.0,12.0,0.0
activated_endothelial_cd140b,activated_fibroblast_cd140b,Medulla,0.06363636363636363,0.052319575971597455,1.2025804731464589,0.21409008316030032,0.25,847.0,12.0,0.16666666666666666
activated_endothelial_cd140b,activated_fibroblast_cd44,Cortex,0.02759889604415823,0.06555305417869917,0.4454590939044458,-1.268003069813005,0.8333333333333334,1087.0,12.0,0.75
activated_endothelial_cd140b,activated_fibroblast_cd44,Medulla,0.03388429752066116,0.06569877110030382,0.5374952411210328,-1.010066318913358,0.5,847.0,12.0,0.25
activated_endothelial_cd140b,activated_immune,Cortex,0.0078196872125115,0.014721056312161947,0.49262500201746323,-1.2824428803550456,0.16666666666666666,1087.0,12.0,0.0
activated_endothelial_cd140b,activated_immune,Medulla,0.011452184179456908,0.015892140456366482,0.7113936999793656,-0.6683053952023669,0.16666666666666666,847.0,12.0,0.0
activated_endothelial_cd140b,activated_m2_cd140b,Cortex,0.01529051987767584,0.018257839532700753,0.8635657366296682,-0.5121172161932803,0.09090909090909091,981.0,11.0,0.0
activated_endothelial_cd140b,activated_m2_cd140b,Medulla,0.02066115702479339,0.019339429435168535,1.1368271390824893,0.1466016351146894,0.08333333333333333,847.0,12.0,0.0
activated_endothelial_cd140b,activated_m2_cd44,Cortex,0.046642134314627416,0.10504948312776322,0.48298996959426854,-1.1172628159127524,0.8333333333333334,1087.0,12.0,0.5833333333333334
activated_endothelial_cd140b,activated_m2_cd44,Medulla,0.05100354191263284,0.08934186310162022,0.5914895866749301,-0.83273585155366,0.6666666666666666,847.0,12.0,0.4166666666666667
activated_endothelial_cd140b,activated_myeloid_cd140b,Cortex,0.004554263565891473,0.006023882466116453,0.7148844130675526,,0.0,1032.0,11.0,0.0
activated_endothelial_cd140b,activated_myeloid_cd140b,Medulla,0.008500590318772138,0.006919904253083429,1.3267464491431435,0.29792590093317983,0.0,847.0,12.0,0.0
activated_endothelial_cd140b,activated_myeloid_cd44,Cortex,0.01895124195032199,0.03760650554488121,0.4881719697083473,-1.2046913581931094,0.5,1087.0,12.0,0.25
activated_endothelial_cd140b,activated_myeloid_cd44,Medulla,0.020070838252656435,0.03467557680505401,0.6016500890513503,-0.8628693604370508,0.25,847.0,12.0,0.16666666666666666
activated_endothelial_cd140b,endothelial,Cortex,0.22750689972401106,0.17964372565347875,1.2321735194772587,0.2834220575895187,0.4166666666666667,1087.0,12.0,0.3333333333333333
activated_endothelial_cd140b,endothelial,Medulla,0.22939787485242033,0.15827304346164944,1.4412239812956513,0.5169473996677751,0.8333333333333334,847.0,12.0,0.6666666666666666
activated_endothelial_cd140b,fibroblast,Cortex,0.04167433302667893,0.0473597863083942,0.8683684238045175,-0.26721773186250236,0.08333333333333333,1087.0,12.0,0.0
activated_endothelial_cd140b,fibroblast,Medulla,0.053128689492325853,0.06447925653229881,0.8511691574225386,-0.29959435873523543,0.3333333333333333,847.0,12.0,0.0
activated_endothelial_cd140b,immune_cells,Cortex,0.04001839926402944,0.04742316061221009,0.7944598059587102,-0.4287683640813968,0.08333333333333333,1087.0,12.0,0.0
activated_endothelial_cd140b,immune_cells,Medulla,0.04923258559622196,0.05572021409040959,0.878414999543637,-0.22715031224313753,0.08333333333333333,847.0,12.0,0.0
activated_endothelial_cd140b,m2_macrophage,Cortex,0.009751609935602578,0.012808115346125982,0.7013466057996336,-0.5892923933728094,0.0,1087.0,12.0,0.0
activated_endothelial_cd140b,m2_macrophage,Medulla,0.020425029515938605,0.02529511589528281,0.8194878221335891,-0.3777165389286913,0.08333333333333333,847.0,12.0,0.0
activated_endothelial_cd140b,myeloid,Cortex,0.007632093933463797,0.010530649622994336,0.6507742366352934,-0.8634266407746944,0.0,1022.0,11.0,0.0
activated_endothelial_cd140b,myeloid,Medulla,0.014876033057851241,0.01818303912408376,0.8083493099762799,-0.3390851560426442,0.0,847.0,12.0,0.0
activated_endothelial_cd140b,neutrophil,Cortex,0.09779208831646735,0.1769408707088758,0.5623428129941276,-0.987875636753411,0.6666666666666666,1087.0,12.0,0.5
activated_endothelial_cd140b,neutrophil,Medulla,0.1029515938606848,0.15199389715640094,0.6742992685989095,-0.6147206277886813,0.5833333333333334,847.0,12.0,0.4166666666666667
activated_endothelial_cd44,activated_endothelial_cd140b,Cortex,0.11603053435114505,0.10810446306377548,1.0784598103061394,0.06201971581138644,0.4166666666666667,1179.0,12.0,0.4166666666666667
activated_endothelial_cd44,activated_endothelial_cd140b,Medulla,0.07173782321106434,0.07952328939604104,0.8809331889583149,-0.255542860697022,0.4166666666666667,1663.0,12.0,0.25
activated_endothelial_cd44,activated_endothelial_cd44,Cortex,0.2602205258693808,0.1397752453514164,1.958444204772935,0.8723810354185927,0.9166666666666666,1179.0,12.0,0.9166666666666666
activated_endothelial_cd44,activated_endothelial_cd44,Medulla,0.2834034876728803,0.16933673082909373,1.7289982243410231,0.7597751415445227,1.0,1663.0,12.0,1.0
activated_endothelial_cd44,activated_fibroblast_cd140b,Cortex,0.028922815945716704,0.04641119053002035,0.6458279016608299,-0.7135758728386818,0.4166666666666667,1179.0,12.0,0.25
activated_endothelial_cd44,activated_fibroblast_cd140b,Medulla,0.041250751653638,0.05413305216162013,0.7587046062563567,-0.42000532069808155,0.16666666666666666,1663.0,12.0,0.08333333333333333
activated_endothelial_cd44,activated_fibroblast_cd44,Cortex,0.07794741306191685,0.06633440423134225,1.1496844389179932,0.1536998330687325,0.3333333333333333,1179.0,12.0,0.25
activated_endothelial_cd44,activated_fibroblast_cd44,Medulla,0.0830426939266386,0.06724005023596312,1.191479614133548,0.2339563417181586,0.3333333333333333,1663.0,12.0,0.16666666666666666
activated_endothelial_cd44,activated_immune,Cortex,0.013910093299406276,0.016637990354688287,0.9934236194812731,-0.16050800740483667,0.16666666666666666,1179.0,12.0,0.0
activated_endothelial_cd44,activated_immune,Medulla,0.018761274804570054,0.01666973282196024,1.1025086409862328,,0.16666666666666666,1663.0,12.0,0.08333333333333333
activated_endothelial_cd44,activated_m2_cd140b,Cortex,0.006954887218045113,0.013825515665048655,0.49503605848812365,,0.09090909090909091,1064.0,11.0,0.09090909090909091
activated_endothelial_cd44,activated_m2_cd140b,Medulla,0.006915213469633193,0.015661157780113694,0.4774511601838341,-1.1896457528112696,0.3333333333333333,1663.0,12.0,0.16666666666666666
activated_endothelial_cd44,activated_m2_cd44,Cortex,0.07582697201017813,0.08988757520994455,0.8704673763874874,-0.2923665508204883,0.08333333333333333,1179.0,12.0,0.08333333333333333
activated_endothelial_cd44,activated_m2_cd44,Medulla,0.07269993986770895,0.08519708765593438,0.8420086641998165,-0.25771284155164653,0.16666666666666666,1663.0,12.0,0.0
activated_endothelial_cd44,activated_myeloid_cd140b,Cortex,0.0025218234723569355,0.005465679836059519,0.4814904623343033,,0.0,1031.0,11.0,0.0
activated_endothelial_cd44,activated_myeloid_cd140b,Medulla,0.0038484666265784727,0.005992064365302476,0.5498923996428506,,0.08333333333333333,1663.0,12.0,0.0
activated_endothelial_cd44,activated_myeloid_cd44,Cortex,0.026378286683630195,0.040356414283335376,0.6260839026519369,,0.4166666666666667,1179.0,12.0,0.08333333333333333
activated_endothelial_cd44,activated_myeloid_cd44,Medulla,0.028322309079975953,0.0361126127280751,0.7375139111600288,-0.5408915661104754,0.16666666666666666,1663.0,12.0,0.08333333333333333
activated_endothelial_cd44,endothelial,Cortex,0.15250212044105171,0.16092277618901174,0.9684313978667985,-0.07594217884467179,0.3333333333333333,1179.0,12.0,0.25
activated_endothelial_cd44,endothelial,Medulla,0.1507516536380036,0.14618514436859642,1.0444478467988545,0.053409245129398375,0.08333333333333333,1663.0,12.0,0.0
activated_endothelial_cd44,fibroblast,Cortex,0.04088210347752332,0.05477003104883982,0.7649058979184427,-0.4084974277493325,0.16666666666666666,1179.0,12.0,0.08333333333333333
activated_endothelial_cd44,fibroblast,Medulla,0.04696331930246543,0.06808275246733494,0.6877586109520069,-0.5909588897639074,0.6666666666666666,1663.0,12.0,0.16666666666666666
activated_endothelial_cd44,immune_cells,Cortex,0.04198473282442749,0.055249082315767716,0.7628913916424392,-0.42187810322144165,0.25,1179.0,12.0,0.08333333333333333
activated_endothelial_cd44,immune_cells,Medulla,0.036319903788334336,0.057795546069081424,0.6241271733640023,-0.7936231396715804,0.5833333333333334,1663.0,12.0,0.4166666666666667
activated_endothelial_cd44,m2_macrophage,Cortex,0.012213740458015267,0.01591584993772131,0.7990836962435528,-0.5297861544997934,0.0,1179.0,12.0,0.0
activated_endothelial_cd44,m2_macrophage,Medulla,0.015453998797354181,0.02869335419577936,0.6352284497572545,-0.870049610019236,0.3333333333333333,1663.0,12.0,0.16666666666666666
activated_endothelial_cd44,myeloid,Cortex,0.010046082949308756,0.01235400470259884,0.7670038768195451,,0.0,1085.0,11.0,0.0
activated_endothelial_cd44,myeloid,Medulla,0.011244738424533976,0.019923212989715913,0.64401024810578,-0.878674645211572,0.4166666666666667,1663.0,12.0,0.16666666666666666
activated_endothelial_cd44,neutrophil,Cortex,0.13545377438507208,0.17700939675393412,0.7676136586468717,-0.4765371506622646,0.5,1179.0,12.0,0.3333333333333333
activated_endothelial_cd44,neutrophil,Medulla,0.12928442573662058,0.14945421193538805,0.8530825343424427,-0.24036127997849344,0.4166666666666667,1663.0,12.0,0.3333333333333333
activated_fibroblast_cd140b,activated_endothelial_cd140b,Cortex,0.12405660377358489,0.114937836525461,1.0880385367025194,0.08783857027337158,0.16666666666666666,424.0,12.0,0.08333333333333333
activated_fibroblast_cd140b,activated_endothelial_cd140b,Medulla,0.09707495429616086,0.08101404176954853,1.216228243132695,0.24526570293923788,0.3333333333333333,547.0,12.0,0.3333333333333333
activated_fibroblast_cd140b,activated_endothelial_cd44,Cortex,0.08514150943396225,0.1290537585728632,0.6663196400802902,-0.6533943976831333,0.5,424.0,12.0,0.25
activated_fibroblast_cd140b,activated_endothelial_cd44,Medulla,0.12687385740402196,0.16457635419519975,0.7499811614125215,-0.47295840458005795,0.4166666666666667,547.0,12.0,0.16666666666666666
activated_fibroblast_cd140b,activated_fibroblast_cd140b,Cortex,0.09080188679245282,0.048385629364879744,1.9483597704995852,0.8659735813652436,0.6666666666666666,424.0,12.0,0.4166666666666667
