focal_cell_type,neighbor_cell_type,region,enrichment_score,log2_enrichment,n_focal_cells,n_rois,n_mice_effective,below_min_support,insufficient_support
activated_endothelial_cd140b,activated_endothelial_cd140b,Cortex,1.9471907646292228,0.9613942305927824,146,12,2,False,False
activated_endothelial_cd140b,activated_endothelial_cd44,Cortex,1.2034947251062882,0.2672298185222755,146,12,2,False,False
activated_endothelial_cd140b,activated_fibroblast_cd140b,Cortex,1.236585024125237,0.306361438811333,146,12,2,False,False
activated_endothelial_cd140b,activated_fibroblast_cd44,Cortex,0.9378661779221767,-0.0925460124679835,140,11,2,False,False
activated_endothelial_cd140b,activated_immune,Cortex,1.2409362474158665,0.3114289995137689,71,7,2,False,False
activated_endothelial_cd140b,activated_m2_cd140b,Cortex,1.9231425696014264,0.9434657189090634,136,11,2,False,False
activated_endothelial_cd140b,activated_m2_cd44,Cortex,0.6076325571596446,-0.7187289228840901,146,12,2,False,False
activated_endothelial_cd140b,activated_myeloid_cd140b,Cortex,0.9517663512168436,-0.0713206445817619,103,9,2,False,False
activated_endothelial_cd140b,activated_myeloid_cd44,Cortex,0.8347651017338885,-0.2605578065696062,146,12,2,False,False
activated_endothelial_cd140b,endothelial,Cortex,1.3739208149869928,0.4582988577822263,146,12,2,False,False
activated_endothelial_cd140b,fibroblast,Cortex,1.1677753886485047,0.2237628111660432,146,12,2,False,False
activated_endothelial_cd140b,immune_cells,Cortex,1.0366632115130792,0.0519472712026446,146,12,2,False,False
activated_endothelial_cd140b,m2_macrophage,Cortex,0.8631601346274924,-0.2122998599309209,146,12,2,False,False
activated_endothelial_cd140b,myeloid,Cortex,0.888648625096226,-0.1703150099586601,135,11,2,False,False
activated_endothelial_cd140b,neutrophil,Cortex,0.6874712603651817,-0.540628691755844,146,12,2,False,False
activated_endothelial_cd44,activated_endothelial_cd140b,Cortex,1.1003645582988963,0.1379815776731009,70,12,2,False,False
activated_endothelial_cd44,activated_endothelial_cd44,Cortex,2.19692609256221,1.1354863364487264,70,12,2,False,False
activated_endothelial_cd44,activated_fibroblast_cd140b,Cortex,0.7727412553935116,-0.371942671746015,70,12,2,False,False
activated_endothelial_cd44,activated_fibroblast_cd44,Cortex,3.4012243175612427,1.7660541578132352,57,11,2,False,False
activated_endothelial_cd44,activated_immune,Cortex,,,46,7,1,False,True
activated_endothelial_cd44,activated_m2_cd140b,Cortex,,,64,11,1,False,True
activated_endothelial_cd44,activated_m2_cd44,Cortex,0.7251662322314516,-0.4636163481374297,70,12,2,False,False
activated_endothelial_cd44,activated_myeloid_cd140b,Cortex,4.5157929513854045,2.1749793402169235,55,9,2,False,False
activated_endothelial_cd44,activated_myeloid_cd44,Cortex,1.194629710950808,0.2565635077798415,70,12,2,False,False
activated_endothelial_cd44,endothelial,Cortex,0.8091786795206224,-0.3054697870463899,70,12,2,False,False
activated_endothelial_cd44,fibroblast,Cortex,0.7873941368053257,-0.3448421251302785,70,12,2,False,False
activated_endothelial_cd44,immune_cells,Cortex,1.4074327096668424,0.4930659477047044,70,12,2,False,False
activated_endothelial_cd44,m2_macrophage,Cortex,0.8825812004793404,-0.1801990775350334,70,12,2,False,False
activated_endothelial_cd44,myeloid,Cortex,1.4338146065167163,0.5198584943675642,64,11,2,False,False
activated_endothelial_cd44,neutrophil,Cortex,0.974934880093824,-0.0366222363361144,70,12,2,False,False
activated_fibroblast_cd140b,activated_endothelial_cd140b,Cortex,1.3020134574699969,0.3807443601202084,187,12,2,False,False
activated_fibroblast_cd140b,activated_endothelial_cd44,Cortex,1.4490707507189695,0.53512803604014,187,12,2,False,False
activated_fibroblast_cd140b,activated_fibroblast_cd140b,Cortex,1.4057599970529222,0.4913503066314403,187,12,2,False,False
activated_fibroblast_cd140b,activated_fibroblast_cd44,Cortex,1.0341249879892944,0.0484105653964246,164,11,2,False,False
