region,timepoint,strata_level,focal_cell_type,neighbor_cell_type,log2_enrichment,enrichment_score,range_min,range_max,mouse_values,n_focal_cells,n_rois,n_mice,n_mice_effective,n_clipped_extremes,below_min_support,insufficient_support
pooled,pooled,pooled,activated_endothelial_cd140b,activated_endothelial_cd140b,1.266930323642982,2.406489825430968,1.0722909460711185,1.4615697012148459,"[1.0722909460711185, 1.4615697012148459]",284,24,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd140b,activated_endothelial_cd44,0.061225899977409806,1.0433519508047873,-0.016739143371955652,0.13919094332677526,"[-0.016739143371955652, 0.13919094332677526]",284,24,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd140b,activated_fibroblast_cd140b,0.2276499828948167,1.1709260644368866,0.0950440587022954,0.36025590708733796,"[0.36025590708733796, 0.0950440587022954]",284,24,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd140b,activated_fibroblast_cd44,-0.0737826620762075,0.9501435085236815,-0.09893800247054912,-0.048627321681865864,"[-0.048627321681865864, -0.09893800247054912]",248,20,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd140b,activated_immune,0.988656613182455,1.984336386165484,0.9212809167358306,1.0560323096290796,"[0.9212809167358306, 1.0560323096290796]",166,15,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd140b,activated_m2_cd140b,0.8048351810333576,1.7469462026565574,0.6975668952937814,0.9121034667729339,"[0.9121034667729339, 0.6975668952937814]",264,21,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd140b,activated_m2_cd44,-0.7405493368462646,0.5985114129553418,-0.7490357400500153,-0.732062933642514,"[-0.7490357400500153, -0.732062933642514]",284,24,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd140b,activated_myeloid_cd140b,0.7578013396367096,1.6909117187072116,0.7495385610639813,0.7660641182094379,"[0.7660641182094379, 0.7495385610639813]",218,18,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd140b,activated_myeloid_cd44,-0.0808337974133109,0.9455110360469029,-0.37834354430626027,0.21667594947963847,"[0.21667594947963847, -0.37834354430626027]",284,24,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd140b,endothelial,0.4992282499934864,1.4134572504518894,0.3814195160713054,0.6170369839156674,"[0.3814195160713054, 0.6170369839156674]",284,24,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd140b,fibroblast,-0.0821925857354678,0.944620934886645,-0.31066256555363286,0.14627739408269727,"[-0.31066256555363286, 0.14627739408269727]",284,24,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd140b,immune_cells,-0.022240889394409047,0.9847020116963974,-0.035972738111107565,-0.00850904067771053,"[-0.00850904067771053, -0.035972738111107565]",284,24,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd140b,m2_macrophage,-0.2550451237687432,0.8379609250080686,-0.5686814804252547,0.05859123288776822,"[0.05859123288776822, -0.5686814804252547]",284,24,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd140b,myeloid,-0.1526557715634792,0.8995929302886759,-0.24756866881243939,-0.057742874314519,"[-0.057742874314519, -0.24756866881243939]",273,23,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd140b,neutrophil,-0.48610024522930273,0.7139523793534616,-0.49522425201910036,-0.47697623843950515,"[-0.49522425201910036, -0.47697623843950515]",284,24,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd44,activated_endothelial_cd140b,-0.1857538046456563,0.87918958147518,-0.352608913311318,-0.018898695979994613,"[-0.352608913311318, -0.018898695979994613]",178,24,2,2,0,False,False
pooled,pooled,pooled,activated_endothelial_cd44,activated_endothelial_cd44,1.2139991576597227,2.319797954559812,1.0037388548428439,1.4242594604766015,"[1.0037388548428439, 1.4242594604766015]",178,24,2,2,0,False,False
