focal_cell_type,neighbor_cell_type,timepoint,observed_proportion,expected_proportion,enrichment_score,log2_enrichment,fraction_significant_raw,n_focal_cells,n_rois,fraction_significant_fdr
activated_endothelial_cd140b,activated_endothelial_cd140b,D1,0.22213114754098362,0.1049238096807042,2.056897292670697,0.9875057948555708,1.0,488.0,6.0,0.6666666666666666
activated_endothelial_cd140b,activated_endothelial_cd140b,D3,0.23721973094170404,0.10071495939966287,2.244758958508899,1.1405157929969783,1.0,446.0,6.0,1.0
activated_endothelial_cd140b,activated_endothelial_cd140b,D7,0.30954861111111115,0.11139219027208323,2.8697012481667215,1.4544080519323688,1.0,576.0,6.0,1.0
activated_endothelial_cd140b,activated_endothelial_cd140b,Sham,0.1856132075471698,0.09756803011017647,1.8839101003799745,0.8983388600068289,1.0,424.0,6.0,1.0
activated_endothelial_cd140b,activated_endothelial_cd44,D1,0.18032786885245905,0.1719949406228664,1.049617907456678,0.037820928617512725,0.5,488.0,6.0,0.16666666666666666
activated_endothelial_cd140b,activated_endothelial_cd44,D3,0.09170403587443945,0.11963099766514965,0.7446069389359541,-0.4782119553148947,0.3333333333333333,446.0,6.0,0.16666666666666666
activated_endothelial_cd140b,activated_endothelial_cd44,D7,0.07604166666666666,0.08701958451091528,0.859633372612459,-0.3319235480156244,0.6666666666666666,576.0,6.0,0.5
activated_endothelial_cd140b,activated_endothelial_cd44,Sham,0.18349056603773584,0.17049564989836025,1.076936732795068,0.09153481194569817,0.16666666666666666,424.0,6.0,0.16666666666666666
activated_endothelial_cd140b,activated_fibroblast_cd140b,D1,0.0569672131147541,0.05418481958194137,1.043317131254251,-0.013666161084546222,0.3333333333333333,488.0,6.0,0.16666666666666666
activated_endothelial_cd140b,activated_fibroblast_cd140b,D3,0.057847533632287,0.04955888993791353,1.1421985202325151,0.14854071864968255,0.16666666666666666,446.0,6.0,0.16666666666666666
activated_endothelial_cd140b,activated_fibroblast_cd140b,D7,0.03715277777777778,0.03528368454366357,1.0764255057456282,0.04090454162565561,0.0,576.0,6.0,0.0
activated_endothelial_cd140b,activated_fibroblast_cd140b,Sham,0.06037735849056603,0.05702703860681948,1.031694713993318,0.008757103205157133,0.16666666666666666,424.0,6.0,0.0
activated_endothelial_cd140b,activated_fibroblast_cd44,D1,0.03401639344262295,0.06229057739730036,0.5493529037235014,-0.8838093543434562,0.6666666666666666,488.0,6.0,0.5
activated_endothelial_cd140b,activated_fibroblast_cd44,D3,0.0289237668161435,0.0744776546878068,0.38041812930135577,-1.4933651134780817,1.0,446.0,6.0,0.6666666666666666
