focal_cell_type,neighbor_cell_type,timepoint,enrichment_score,log2_enrichment,n_focal_cells,n_rois,n_mice_effective,below_min_support,insufficient_support
activated_endothelial_cd140b,activated_endothelial_cd140b,D1,1.6149095921003116,0.691453400411803,49,6,2,False,False
activated_endothelial_cd140b,activated_endothelial_cd44,D1,0.9868133415284164,-0.0191508741553147,49,6,2,False,False
activated_endothelial_cd140b,activated_fibroblast_cd140b,D1,1.1804466433655552,0.2393328326791445,49,6,2,False,False
activated_endothelial_cd140b,activated_fibroblast_cd44,D1,1.379780499977589,0.4644387765823925,36,4,2,False,False
activated_endothelial_cd140b,activated_immune,D1,1.7882282830146237,0.8385309209454344,42,5,2,False,False
activated_endothelial_cd140b,activated_m2_cd140b,D1,2.5448360411214073,1.3475727092357896,42,5,2,False,False
activated_endothelial_cd140b,activated_m2_cd44,D1,0.6482505193323849,-0.6253766380232836,49,6,2,False,False
activated_endothelial_cd140b,activated_myeloid_cd140b,D1,,,34,5,1,False,True
activated_endothelial_cd140b,activated_myeloid_cd44,D1,0.7331959835796611,-0.4477292120177143,49,6,2,False,False
activated_endothelial_cd140b,endothelial,D1,1.146900074950205,0.1977397002868381,49,6,2,False,False
activated_endothelial_cd140b,fibroblast,D1,1.0008881680220851,0.0012807869081084,49,6,2,False,False
activated_endothelial_cd140b,immune_cells,D1,0.8946414056345001,-0.1606185644442491,49,6,2,False,False
activated_endothelial_cd140b,m2_macrophage,D1,0.6702463168505091,-0.5772367085812121,49,6,2,False,False
activated_endothelial_cd140b,myeloid,D1,1.0128142006119043,0.018369537968097,49,6,2,False,False
activated_endothelial_cd140b,neutrophil,D1,0.92629096116597,-0.1104626591807426,49,6,2,False,False
activated_endothelial_cd44,activated_endothelial_cd140b,D1,0.9868133415284164,-0.0191508741553147,42,6,2,False,False
activated_endothelial_cd44,activated_endothelial_cd44,D1,2.135000730007766,1.0942365631377582,42,6,2,False,False
activated_endothelial_cd44,activated_fibroblast_cd140b,D1,1.0492422876266194,0.0693478588457217,42,6,2,False,False
activated_endothelial_cd44,activated_fibroblast_cd44,D1,,,27,4,1,False,True
activated_endothelial_cd44,activated_immune,D1,,,33,5,1,False,True
activated_endothelial_cd44,activated_m2_cd140b,D1,6.223802237034391,2.6377962190351214,34,5,2,False,False
activated_endothelial_cd44,activated_m2_cd44,D1,0.708825703337352,-0.4964971752424681,42,6,2,False,False
activated_endothelial_cd44,activated_myeloid_cd140b,D1,4.68932229535821,2.229379438354081,35,5,2,False,False
activated_endothelial_cd44,activated_myeloid_cd44,D1,0.5892270242519436,-0.7631044953686853,42,6,2,False,False
activated_endothelial_cd44,endothelial,D1,1.1341689884867534,0.1816356144319752,42,6,2,False,False
activated_endothelial_cd44,fibroblast,D1,0.8988155524330541,-0.1539030068360311,42,6,2,False,False
activated_endothelial_cd44,immune_cells,D1,0.8497143317148432,-0.2349501965648143,42,6,2,False,False
activated_endothelial_cd44,m2_macrophage,D1,0.7872508665314474,-0.3451046545432744,42,6,2,False,False
activated_endothelial_cd44,myeloid,D1,0.7088538092401935,-0.4964399715567342,42,6,2,False,False
activated_endothelial_cd44,neutrophil,D1,1.0747330965087372,0.1039784196724176,42,6,2,False,False
activated_fibroblast_cd140b,activated_endothelial_cd140b,D1,1.306827962640887,0.3860692300536992,132,6,2,False,False
activated_fibroblast_cd140b,activated_endothelial_cd44,D1,1.0675860904684495,0.0943524139056345,132,6,2,False,False
activated_fibroblast_cd140b,activated_fibroblast_cd140b,D1,1.3537536503370549,0.4369652280024418,132,6,2,False,False
