focal_cell_type,neighbor_cell_type,timepoint,observed_proportion,expected_proportion,enrichment_score,log2_enrichment,fraction_significant_raw,n_focal_cells,n_rois
endothelial,endothelial,D1,0.20294201831328687,0.14668674676706095,1.3964184483247033,0.47192692657608876,1.0,2115,6
endothelial,endothelial,D3,0.22954490273838055,0.14195323083352904,1.6330355180461307,0.7005399192221868,1.0,2044,6
endothelial,endothelial,D7,0.26090799962442873,0.11308985545627974,2.4775205222456385,1.2523453967735485,1.0,1660,6
endothelial,endothelial,Sham,0.1973357274225073,0.13929879749000063,1.4615073831993073,0.5373546701176906,1.0,2032,6
endothelial,endothelial+immune,D1,0.1062825371380277,0.08663199765639128,1.2368647046483174,0.3047769327139584,1.0,2115,6
endothelial,endothelial+immune,D3,0.11886853618250182,0.09221247240339832,1.3094030888027277,0.384587872824762,1.0,2044,6
endothelial,endothelial+immune,D7,0.14256311683519537,0.1056870756144359,1.4905022060950468,0.5332851990562198,0.8333333333333334,1660,6
endothelial,endothelial+immune,Sham,0.1000886549627605,0.08064928987932247,1.2559086465326523,0.32163804498099763,1.0,2032,6
endothelial,endothelial+immune+stromal,D1,0.22635836850989463,0.2535376154068462,0.8978784554209821,-0.15882558929945187,0.8333333333333334,2115,6
endothelial,endothelial+immune+stromal,D3,0.27015156374797994,0.3180372887229554,0.8539291031577956,-0.22929917700917654,1.0,2044,6
endothelial,endothelial+immune+stromal,D7,0.26612636200777384,0.384801376034297,0.6989510632749486,-0.5258836369707269,1.0,1660,6
endothelial,endothelial+immune+stromal,Sham,0.18790679441555716,0.20297974927341259,0.9240439928259971,-0.11573194690310122,0.5,2032,6
endothelial,endothelial+stromal,D1,0.14669732835964006,0.13344046506926924,1.0949568739480198,0.12955232799586466,0.5,2115,6
endothelial,endothelial+stromal,D3,0.11881812254896719,0.1075822306905899,1.1176060226829632,0.1538476654938368,0.6666666666666666,2044,6
endothelial,endothelial+stromal,D7,0.08100260401341007,0.0589903647524077,1.469757109301888,0.4857968661117383,0.8333333333333334,1660,6
endothelial,endothelial+stromal,Sham,0.11391800147781606,0.09812928623325044,1.1861375575182183,0.23763979203075322,0.6666666666666666,2032,6
endothelial,immune,D1,0.0479073630623903,0.060487163991786046,0.7888464420320566,-0.35293046181815596,0.8333333333333334,2115,6
endothelial,immune,D3,0.030394046302658972,0.04624495340932319,0.6503961221583483,-0.6339658938673175,1.0,2044,6
endothelial,immune,D7,0.029723783091863534,0.048057181144598275,0.6199078806306664,-0.7084989241736716,1.0,1660,6
endothelial,immune,Sham,0.06204302844006886,0.0798790153462741,0.7717656421747532,-0.3983458265381495,0.8333333333333334,2032,6
endothelial,immune+stromal,D1,0.037497802794686015,0.06296953300937401,0.5815542230126206,-0.8221465874277628,1.0,2115,6
endothelial,immune+stromal,D3,0.031973219097021485,0.07164195969218663,0.4350157185629709,-1.2231037329445427,1.0,2044,6
endothelial,immune+stromal,D7,0.03541631547578209,0.11841313149333932,0.3210478407728845,-1.7198361172538696,1.0,1660,6
endothelial,immune+stromal,Sham,0.05521339772308669,0.08687890555309101,0.6433987115890216,-0.6463177322676966,1.0,2032,6
endothelial,none,D1,0.18953778330065338,0.19982994353696557,0.9465756633626038,-0.08308225935717017,0.3333333333333333,2115,6
endothelial,none,D3,0.17364539482365662,0.17607565468236097,0.9855567211757843,-0.025035818729531725,0.5,2044,6
endothelial,none,D7,0.17147035007326647,0.14442729300980117,1.1889862867045937,0.2214087240620933,0.6666666666666666,1660,6
endothelial,none,Sham,0.23589244097356857,0.24854028979087772,0.9481013572256449,-0.07758934959566845,0.5,2032,6
endothelial,stromal,D1,0.04277679852142108,0.05641653456230667,0.7583625974552551,-0.4009380336274024,0.8333333333333334,2115,6
endothelial,stromal,D3,0.026604214558833453,0.04625220956565659,0.5475700983623493,-0.8820578390992792,1.0,2044,6
endothelial,stromal,D7,0.0127894688782799,0.026533722494840938,0.4910463128183316,-1.1217393268439728,0.8333333333333334,1660,6
endothelial,stromal,Sham,0.04760195458463488,0.06364466643377106,0.7368753335054449,-0.44679512948751543,1.0,2032,6
endothelial+immune,endothelial,D1,0.17886128926178202,0.14668674676706095,1.2298568694504581,0.296599481942449,1.0,1249,6
endothelial+immune,endothelial,D3,0.1829665592056234,0.14195323083352904,1.2874072229788398,0.36107825920925446,1.0,1330,6
endothelial+immune,endothelial,D7,0.16132407180077413,0.11308985545627974,1.5101123491020083,0.5468611595111973,0.8333333333333334,1559,6
endothelial+immune,endothelial,Sham,0.17048007038538393,0.13929879749000063,1.2573025905830786,0.32205372478108885,1.0,1172,6
endothelial+immune,endothelial+immune,D1,0.12450423448428333,0.08663199765639128,1.5398160359201,0.5483182633821615,1.0,1249,6
endothelial+immune,endothelial+immune,D3,0.15667399584752634,0.09221247240339832,1.7778254852833213,0.8121727609475764,1.0,1330,6
endothelial+immune,endothelial+immune,D7,0.21125150432964457,0.1056870756144359,2.0263057763077943,0.9899485763929449,1.0,1559,6
endothelial+immune,endothelial+immune,Sham,0.10637491805118054,0.08064928987932247,1.3637295170286095,0.41939990983140335,1.0,1172,6
endothelial+immune,endothelial+immune+stromal,D1,0.26300882155417254,0.2535376154068462,1.0366821654340768,0.046023474928519464,0.5,1249,6
endothelial+immune,endothelial+immune+stromal,D3,0.3051940462665957,0.3180372887229554,0.9679552495817924,-0.05155165353128322,0.5,1330,6
endothelial+immune,endothelial+immune+stromal,D7,0.3402298215871204,0.384801376034297,0.8842614462831517,-0.1804607033035149,0.8333333333333334,1559,6
endothelial+immune,endothelial+immune+stromal,Sham,0.20745967577300817,0.20297974927341259,1.0311473159836921,0.04255307157284761,0.16666666666666666,1172,6
endothelial+immune,endothelial+stromal,D1,0.11024152286390743,0.13344046506926924,0.8383570687698728,-0.26902293465823546,0.6666666666666666,1249,6
endothelial+immune,endothelial+stromal,D3,0.07971901337169385,0.1075822306905899,0.7492083758402481,-0.43216479325313834,1.0,1330,6
endothelial+immune,endothelial+stromal,D7,0.04414390669133314,0.0589903647524077,0.7685260248618816,-0.5447861598052373,0.3333333333333333,1559,6
