endpoint,contrast,composite_label,hedges_g_sigmoid,hedges_g_raw,family_b_lineage_source_sign_reverse,family_b_lineage_source_magnitude_disagree
vs_sham_mean_delta_lineage_endothelial,D1_vs_D3,activated_endothelial_cd140b,-0.1196096051628183,-0.6858289075170925,False,True
vs_sham_mean_delta_lineage_endothelial,D1_vs_D3,activated_endothelial_cd140b_cd44,-1.8661980381836833,-2.1747033380872205,False,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D3,activated_endothelial_cd44,0.34665547917781553,0.3426807389407168,False,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D3,activated_m2_macrophage_cd140b_cd44,1.0346336246142898,0.15574582614839436,False,True
vs_sham_mean_delta_lineage_endothelial,D1_vs_D3,activated_neutrophil_cd44,,,False,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D3,activated_stromal_cd140b,1.5348833423948842,2.311062132983329,False,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D3,activated_stromal_cd140b_cd44,1.0881234375730224,1.3289653487360085,False,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D3,activated_stromal_cd44,,,False,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D3,endothelial,-0.1457990353002785,0.20493502595107188,True,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D3,m2_macrophage,,,False,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D3,mixed,0.4570522807069549,-0.9267848542088633,True,True
vs_sham_mean_delta_lineage_endothelial,D1_vs_D3,neutrophil,2.9645296900626468,5.561157523783996,False,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D3,non_myeloid_immune,0.17691492370734427,-0.1744424390406974,True,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D3,stromal,3.7726762357625687,2.491462717817994,False,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D3,unassigned,1.318367720633573,1.258578214182837,False,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D7,activated_endothelial_cd140b,-0.1127503259109363,-0.9839036306358114,False,True
vs_sham_mean_delta_lineage_endothelial,D1_vs_D7,activated_endothelial_cd140b_cd44,0.7344030554930386,0.09447609584798367,False,True
vs_sham_mean_delta_lineage_endothelial,D1_vs_D7,activated_endothelial_cd44,0.6878379421618999,1.5699331306172692,False,True
vs_sham_mean_delta_lineage_endothelial,D1_vs_D7,activated_m2_macrophage_cd140b_cd44,1.2027036828088047,0.8377029933416705,False,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D7,activated_neutrophil_cd44,,,False,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D7,activated_stromal_cd140b,,,False,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D7,activated_stromal_cd140b_cd44,1.4450738606087896,3.73188775884928,False,True
vs_sham_mean_delta_lineage_endothelial,D1_vs_D7,activated_stromal_cd44,,,False,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D7,endothelial,-0.030432307837803332,0.3082907803320116,True,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D7,m2_macrophage,,,False,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D7,mixed,5.156875204556359,1.0190230692279632,False,True
vs_sham_mean_delta_lineage_endothelial,D1_vs_D7,neutrophil,,,False,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D7,non_myeloid_immune,-0.016971868401851973,-0.16490264007924635,False,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D7,stromal,0.638948593325443,0.5974855649616951,False,False
vs_sham_mean_delta_lineage_endothelial,D1_vs_D7,unassigned,0.2528420985653961,0.6944471096394829,False,True
vs_sham_mean_delta_lineage_endothelial,D3_vs_D7,activated_endothelial_cd140b,-0.040063604190693006,-0.7143952158210483,False,True
vs_sham_mean_delta_lineage_endothelial,D3_vs_D7,activated_endothelial_cd140b_cd44,1.0516104428250173,1.1639078030854357,False,False
vs_sham_mean_delta_lineage_endothelial,D3_vs_D7,activated_endothelial_cd44,0.10906591717658445,0.3083812678081902,False,False
vs_sham_mean_delta_lineage_endothelial,D3_vs_D7,activated_m2_macrophage_cd140b_cd44,0.5136997723956008,0.7018285994332909,False,False
vs_sham_mean_delta_lineage_endothelial,D3_vs_D7,activated_neutrophil_cd44,,,False,False
