roi_id,timepoint,mouse,n_tissue_px,n_superpixels,tissue_area_mm2,superpixels_per_mm2
IMC_241218_Alun_ROI_D1_M1_01_9,D1,M1,247881,2463,0.247881,9936.219395597082
IMC_241218_Alun_ROI_D1_M1_02_10,D1,M1,246965,2379,0.246965,9632.943939424615
IMC_241218_Alun_ROI_D1_M1_03_11,D1,M1,244746,2356,0.244746,9626.306456489585
IMC_241218_Alun_ROI_D1_M2_01_12,D1,M2,247664,2469,0.247664,9969.151753989276
IMC_241218_Alun_ROI_D1_M2_02_13,D1,M2,245284,2421,0.245284,9870.191288465616
IMC_241218_Alun_ROI_D1_M2_03_14,D1,M2,240792,2372,0.240792,9850.825608824212
IMC_241218_Alun_ROI_D3_M1_01_15,D3,M1,246307,2431,0.246307,9869.796635905597
IMC_241218_Alun_ROI_D3_M1_02_16,D3,M1,247749,2448,0.247749,9880.968238015088
IMC_241218_Alun_ROI_D3_M1_03_17,D3,M1,245968,2437,0.245968,9907.792883627139
IMC_241218_Alun_ROI_D3_M2_01_18,D3,M2,247281,2398,0.247281,9697.469680242315
IMC_241218_Alun_ROI_D3_M2_02_19,D3,M2,237808,2328,0.237808,9789.40994415663
IMC_241218_Alun_ROI_D3_M2_03_20,D3,M2,241666,2364,0.241666,9782.095950609519
IMC_241218_Alun_ROI_D7_M1_01_21,D7,M1,240195,2375,0.240195,9887.799496242636
IMC_241218_Alun_ROI_D7_M1_02_22,D7,M1,247558,2457,0.247558,9924.946881134925
IMC_241218_Alun_ROI_D7_M1_03_23,D7,M1,244312,2416,0.244312,9888.994400602509
IMC_241218_Alun_ROI_D7_M2_01_24,D7,M2,247932,2490,0.247932,10043.076327380088
IMC_241218_Alun_ROI_D7_M2_02_25,D7,M2,245609,2478,0.245609,10089.206828739989
IMC_241218_Alun_ROI_D7_M2_03_26,D7,M2,247633,2480,0.247633,10014.820318778193
IMC_241218_Alun_ROI_Sam1_01_2,Sham,M1,245730,2343,0.24573,9534.855329019656
IMC_241218_Alun_ROI_Sam1_02_3,Sham,M1,247930,2444,0.24793,9857.621102730609
IMC_241218_Alun_ROI_Sam1_03_4,Sham,M1,247578,2440,0.247578,9855.479889166243
IMC_241218_Alun_ROI_Sam2_01_6,Sham,M2,247859,2471,0.247859,9969.37775106008
IMC_241218_Alun_ROI_Sam2_02_7,Sham,M2,247850,2465,0.24785,9945.53157151503
IMC_241218_Alun_ROI_Sam2_03_8,Sham,M2,247317,2412,0.247317,9752.665607297517

# CV_tissue_area_mm2,0.011568
# CV_superpixels_per_mm2,0.013653
# pearson_abs_r_density_vs_proportion_dominant_celltype,0.973087
# multiplier_density_per_proportion,9857.40
# non_degeneracy_bar_CV,0.05
# non_degeneracy_bar_pearson_r,0.95
# gate_cv_passed,False
# gate_pearson_passed,False
# gate_passed,False
# closure_scope,"area-based density on the present acquisition design (constant field-of-view); does NOT close per-nucleus density, DNA-intensity integral, or variable-extent re-acquisition cohorts."
# corroboration,"Family C raw-marker CD44+ compartment activation remains the only currently-implemented non-compositional corroboration for Family A CLR findings."
