cell_type,max_hedges_g,comparison_at_max,bootstrap_range_min,bootstrap_range_max,n_required_80pct,n_required_90pct
endothelial,-21.1143,D1_vs_D3,-36.864,-21.1143,11,11
immune_cells,10.4331,D1_vs_D7,10.4331,24.2438,11,11
myeloid,5.2202,D1_vs_D3,5.2202,10.3444,4,4
activated_myeloid_cd44,4.2662,Sham_vs_D7,4.2662,12.8384,4,4
fibroblast,3.5697,Sham_vs_D1,3.5471,15.2624,4,5
neutrophil,-2.479,Sham_vs_D7,-9.2087,-2.4257,5,6
activated_immune,2.4427,Sham_vs_D3,2.4427,5.1279,5,6
activated_fibroblast_cd140b,1.7879,D1_vs_D7,1.7642,4.1215,8,9
activated_m2_cd140b,-1.7511,Sham_vs_D7,-10.7912,-1.6675,8,9
activated_myeloid_cd140b,-1.7068,D1_vs_D7,-3.5199,-1.7068,8,10
activated_endothelial_cd140b,-1.628,D1_vs_D7,-6.2756,-1.5245,9,11
activated_fibroblast_cd44,-1.2784,D1_vs_D7,-9.1177,-1.1876,12,15
activated_m2_cd44,0.9693,Sham_vs_D7,0.9108,13.664,19,26
activated_endothelial_cd44,0.6924,Sham_vs_D7,0.391,2.0614,36,48
m2_macrophage,-0.5646,Sham_vs_D1,-29.6639,0.1664,54,71
